B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
10096,9193,8204,7765,8995,8838,8182,1,-1.1860818908778616e-07,-599556173531315.0,-4021.2338442542573,1326474972912.2124,-0.9999659418670289,7.236719478098788,-77192.52935694315,-6904.2050326188255,9193.0,-73597089.99928321,-7725.076572691254
10030,9196,8252,7877,9804,9524,8718,1,-1.1303017366926685e-07,-635964447946952.9,-4674.699389668262,849829137033.7607,-0.9999679909511441,4.782635094110504,-50253.527625986644,-4178.608378870674,9196.0,-85471271.99952316,-8726.866167126786
10098,9214,8202,7761,8870,8664,8374,1,-1.2013560502940452e-07,-590218778035071.6,-4058.386579754679,1632553087750.8772,-0.999966558911022,8.59468438538206,-91720.70431893687,-8029.421926910299,9214.0,-74277379.99914888,-8113.386443744504
10138,9240,8198,7745,8640,8635,8334,1,-1.1880626117411987e-07,-596393769980944.9,-3926.5293460499547,1710063148383.373,-0.9999651863803419,8.702247191011235,-93383.51011235955,-8271.68988764045,9240.0,-72005759.99914162,-8037.934241144761
10099,9175,8132,7654,8398,8433,8122,1,-1.202757402468005e-07,-579969791546066.5,-3740.8655237872076,1901943314537.561,-0.9999642301339212,9.825417201540436,-105423.70731707317,-9645.658536585366,9175.0,-68208555.99902709,-7692.112661321493
10069,9139,8114,7702,8906,9015,8493,1,-1.0775882607810497e-07,-649970406584261.0,-4159.382290052977,1124565782870.3975,-0.9999648231583794,5.865955826351866,-62223.81264280274,-5747.1591774562075,9139.0,-75638657.99941742,-8358.100184509183
10177,9265,8204,7753,8537,8550,8374,1,-1.1764632712134378e-07,-604248868098298.4,-3888.7853608687583,1960561089254.7705,-0.9999651216621694,9.727728983688833,-104757.9774153074,-9387.764115432874,9265.0,-71488837.99904415,-8094.671128959946
10146,9222,8168,7680,8405,8197,8023,1,-1.2555812840531255e-07,-559720608227840.25,-3681.57086152453,2913587984150.623,-0.9999655513407165,14.854932301740812,-160295.0251450677,-14598.127659574468,9222.0,-67433314.99853589,-7483.1094425191495
10073,9184,8100,7643,8477,8160,7964,1,-1.3041185277526563e-07,-529930359305832.44,-3714.404038743104,2933594228026.3057,-0.9999658646082583,14.783365570599614,-157816.82785299807,-13928.239845261121,9184.0,-67510827.99853237,-7435.684755758294
10072,9160,8058,7548,8318,7959,7629,1,-1.3455666947572964e-07,-506631743075546.25,-3499.682393626963,3653524724383.08,-0.9999651275541036,18.364963503649633,-197470.01459854015,-17880.525547445257,9160.0,-63458021.998176634,-6881.467083142028
10169,9255,8185,7749,8481,8505,8323,1,-1.1855849085261074e-07,-598073191460755.2,-3845.3909801341792,2070772731308.7566,-0.9999648915018233,10.25,-110096.91137566138,-9895.621693121693,9255.0,-70587362.99899204,-7998.230731798428
10135,9227,8155,7678,8395,8162,7953,1,-1.2890408946859901e-07,-543185482226337.3,-3649.8876036571614,3145028639707.4277,-0.9999654779677517,15.863636363636363,-170766.37396694216,-15299.049586776859,9227.0,-66765434.99843477,-7368.534107675191
10130,9208,8145,7671,8627,8325,8049,1,-1.2317770505092765e-07,-568203352790485.0,-3799.1693720511207,2314328722938.784,-0.999966081886702,11.729357798165138,-126160.32110091743,-11482.70642201835,9208.0,-69438722.99884212,-7541.304380095522
10180,9295,8274,7853,8642,8570,8294,1,-1.238020753416686e-07,-583982229695347.4,-3883.5890510941517,2109670941673.113,-0.9999658203986723,10.952580195258019,-117474.64435146443,-10212.677824267783,9295.0,-71676747.9989241,-7874.428590391361
10145,9259,8211,7807,8686,8565,8255,1,-1.2321426580818353e-07,-579301613581533.4,-3905.7532206638457,2017107543174.5186,-0.9999658050865471,10.299472295514512,-109895.24406332454,-9597.554089709762,9259.0,-71702929.99898477,-7840.927040154661
10250,9365,8267,7863,8496,9203,9241,1,-1.027294098685489e-07,-703982589714025.1,-4239.462781826845,1291892329601.6814,-0.999963160321842,5.867910447761194,-63236.380597014926,-5459.921641791045,9365.0,-78511535.99942753,-9763.77966420882
10224,9309,8261,7890,8600,9400,9391,1,-9.685451147196266e-08,-751003787987157.6,-4368.585334751006,1096182982485.4648,-0.9999632626730216,5.225165562913907,-55934.0821192053,-5005.837748344371,9309.0,-80762599.99948893,-10017.982458419774
10225,9308,8222,7789,8304,8830,8902,1,-1.068175956126335e-07,-670121168600717.1,-4006.766634269976,1597107963760.928,-0.999963214551185,7.482228626320845,-80758.8376560999,-7242.626320845341,9308.0,-73922207.99926825,-9104.383363355482
10253,9373,8298,7901,8590,9203,9112,1,-1.0547590593947786e-07,-690818792690333.9,-4218.791422617303,1298509396230.3457,-0.9999636087360573,6.068356374807988,-65345.15668202765,-5608.479262672811,9373.0,-78272079.99940814,-9457.440766163185
10263,9352,8276,7874,8449,8914,8913,1,-1.0753910216021986e-07,-676076501835774.2,-4061.5236015500395,1605083334953.677,-0.9999638856677242,7.571153846153846,-81669.79615384615,-7249.457692307692,9352.0,-75305936.99926229,-9044.811152234486
10217,9313,8251,7852,8562,9290,9256,1,-9.991776296473085e-08,-723052176664255.4,-4290.697048092729,1156079974329.4624,-0.9999632039443348,5.4603616133518775,-58623.4123783032,-5186.998609179416,9313.0,-79249871.99946555,-9786.534864924632
10276,9385,8277,7918,8624,9159,9091,1,-1.0484844316279458e-07,-695404631672323.4,-4225.271852418069,1403061559875.9355,-0.999963929594528,6.380338436744561,-68537.02820306204,-5942.63255439162,9385.0,-78400783.9993791,-9383.972594503906
10244,9333,8232,7826,8525,9222,9196,1,-9.986829459157267e-08,-720178353833111.2,-4242.6170877325885,1232346144466.5903,-0.999963026210656,5.606017191977077,-60407.312320916906,-5372.028653295129,9333.0,-78395899.99945275,-9681.09395352162
10262,9367,8308,7913,8583,9064,9025,1,-1.0683539465587992e-07,-684949629612326.2,-4170.826510701618,1442719556884.6846,-0.9999642401352662,6.874891398783666,-74071.8470894874,-6460.173761946134,9367.0,-77461574.99933006,-9249.299110063806
10233,9354,8290,7903,8637,9169,9029,1,-1.070880555278795e-07,-679840339243665.8,-4209.591417412704,1310646165690.9084,-0.9999639348089878,6.242496050552923,-67007.55924170616,-5755.8530805687205,9354.0,-77983472.99938996,-9284.89327418533
10261,9369,8305,7940,8639,9302,9224,1,-1.0241855009404527e-07,-716176512279214.0,-4291.546136045172,1237789997639.1409,-0.9999637247571838,5.829662261380323,-62567.991923641704,-5439.104258443465,9369.0,-79686135.99943186,-9635.356250642868
10286,9391,8344,7936,8682,9525,9538,1,-9.6618191622502e-08,-762650001637150.9,-4444.418259951,1070470764754.3965,-0.9999635231596601,4.994336060415356,-54012.828193832596,-4699.735682819383,9391.0,-82808915.99951445,-10303.617263356766
10306,9410,8347,7970,8700,9369,9310,1,-1.007508820026526e-07,-734529569647912.9,-4341.802887374252,1223617061440.7683,-0.9999639883222149,5.696926375982845,-61489.76554681916,-5345.898498927805,9410.0,-80996999.99944723,-9778.203744587334
10272,9415,8361,8017,8831,9805,9820,1,-9.56248450044935e-08,-775902057625043.8,-4653.624783804776,973826638840.8876,-0.9999636850470262,4.483780760626399,-48033.6644295302,-4007.481543624161,9415.0,-86720419.9995635,-10868.87412171494
10252,9363,8310,7933,8730,9312,9178,1,-1.031800172165848e-07,-710513740709625.1,-4316.060323989427,1206174991207.1138,-0.999964130403117,5.752719361856418,-61779.637418419145,-5357.208121827412,9363.0,-80123939.99943887,-9550.318815591354
10296,9418,8391,8043,8850,9502,9385,1,-1.0164029931903807e-07,-736480623340835.1,-4444.156256525469,1143477852770.268,-0.9999645881877232,5.512679917751885,-59214.349554489374,-5049.553118574366,9418.0,-83057249.99946459,-9875.092537450853
10350,9485,8446,8127,8980,9640,9593,1,-1.0022377373214865e-07,-757768632839581.5,-4582.661270711566,1145259401052.674,-0.9999651821026336,5.371447455386649,-57776.66886979511,-4828.678122934567,9485.0,-86145139.99948102,-10236.142774301825
10276,9373,8318,7930,8676,9430,9336,1,-9.872245150249681e-08,-744236927678106.0,-4355.698420555736,1124756117061.8186,-0.9999635049300861,5.286666666666667,-56983.84533333333,-5007.436,9373.0,-80999135.99948554,-9869.617090556196
10314,9404,8354,7990,8795,9686,9572,1,-9.382252950188964e-08,-792459981561185.4,-4509.130420022652,1012262278587.2865,-0.9999635073092776,4.711084905660377,-50803.747641509435,-4482.393867924528,9404.0,-84185739.99954323,-10296.719136735934
