B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10096,9193,8204,7765,8995,8838,8182,1,4.2172876822066545,8204.0,-53411737.00000001,7742.000001962818,101929216.0,1502428334832.0,1230853059960.0
10030,9196,8252,7877,9804,9524,8718,1,9.92637324012631,8252.0,-66593390.000000015,8342.000002517432,100600900.0,1661389270030.0,1397856823438.0
10098,9214,8202,7761,8870,8664,8374,1,4.249040822460888,8202.0,-53675821.99999999,7932.0000011727925,101969604.0,1529194840866.0,1292242797026.0
10138,9240,8198,7745,8640,8635,8334,1,3.7403902938044364,8198.0,-50705310.0,7880.000000716268,102779044.0,1510682855098.0,1283538685018.0
10099,9175,8132,7654,8398,8433,8122,1,3.303093110659148,8132.0,-46559113.0,7643.00000065907,101989801.0,1441409132793.0,1210492331499.0
10069,9139,8114,7702,8906,9015,8493,1,4.750818829498066,8114.0,-54784428.99999999,8080.0000009478845,101384761.0,1543136536834.0,1318411323691.0
10177,9265,8204,7753,8537,8550,8374,1,3.5877542203622252,8204.0,-49729022.0,7922.000000378013,103571329.0,1517125578973.0,1299395432457.0
10146,9222,8168,7680,8405,8197,8023,1,3.143593445512551,8168.0,-45561137.999999985,7534.0000009255455,102941316.0,1434861747612.0,1187213159022.0
10073,9184,8100,7643,8477,8160,7964,1,3.282931829321559,8100.0,-46211188.00000001,7506.0000012641285,101465329.0,1416789660965.0,1164995847001.0
10072,9160,8058,7548,8318,7959,7629,1,2.8568424053982646,8058.0,-41517052.0,7118.000001736639,101445184.0,1342997085736.0,1066254073192.0
10169,9255,8185,7749,8481,8505,8323,1,3.5013090553729658,8185.0,-48872487.000000015,7886.000000370067,103408561.0,1501114517201.0,1282230819959.0
10135,9227,8155,7678,8395,8162,7953,1,3.092649948007527,8155.0,-45008154.0,7475.000001083146,102718225.0,1420397618545.0,1167219367021.0
10130,9208,8145,7671,8627,8325,8049,1,3.442604430611584,8145.0,-47904254.999999985,7574.000001392395,102616900.0,1454201169080.0,1193106370946.0
10180,9295,8274,7853,8642,8570,8294,1,3.629611751670268,8274.0,-50837071.99999999,7872.000000836701,103632400.0,1514473296220.0,1278814215420.0
10145,9259,8211,7807,8686,8565,8255,1,3.744160943919035,8211.0,-50937904.000000015,7850.000001038901,102921025.0,1502839476520.0,1261909583095.0
10250,9365,8267,7863,8496,9203,9241,1,4.531163130038962,8267.0,-56235773.000000015,8835.999998458045,105062500.0,1691798395500.0,1599468607380.0
10224,9309,8261,7890,8600,9400,9391,1,5.309790998062701,8261.0,-58977173.999999985,9018.999998366777,104530176.0,1719507286080.0,1641937832682.0
10225,9308,8222,7789,8304,8830,8902,1,3.7958325978251177,8222.0,-51457009.99999999,8467.999998712494,104550625.0,1603096205625.0,1475236174289.0
10253,9373,8298,7901,8590,9203,9112,1,4.496908571476971,8298.0,-56406613.00000001,8713.999998893069,105124009.0,1678199320821.0,1556453096077.0
10263,9352,8276,7874,8449,8914,8913,1,3.9692607969705453,8276.0,-53216434.0,8509.99999899082,105329169.0,1628330802582.0,1485875116839.0
10217,9313,8251,7852,8562,9290,9256,1,4.860474868140142,8251.0,-57265096.99999999,8855.999998557252,104387089.0,1690412877217.0,1595755291753.0
10276,9385,8277,7918,8624,9159,9091,1,4.548827050561984,8277.0,-56478518.00000001,8730.99999900493,105596176.0,1682384870320.0,1551270704646.0
