B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10096,9193,8204,7765,8995,8838,8182,1,0.07048360200111173,1.2305105816716793,-3.68062809906082e+27,8204.0,-355.0,158910152.25937954,2331.0,-68626737.0,8838.0
10030,9196,8252,7877,9804,9524,8718,1,0.12974296205630356,1.2153542867492835,-4.989530847932702e+27,8252.0,328.0,193720156.25168678,2153.0,-75020410.0,9524.0
10098,9214,8202,7761,8870,8664,8374,1,0.05208568207440812,1.2310548462887758,-3.7479005222490734e+27,8202.0,-550.0,153456753.66125134,2337.0,-67240582.0,8664.0
10138,9240,8198,7745,8640,8635,8334,1,0.0505787037037037,1.2365352572536463,-3.5326661618694385e+27,8198.0,-605.0,150071615.0940933,2393.0,-66877334.0,8635.0
10099,9175,8132,7654,8398,8433,8122,1,0.03584186711121696,1.2417753691772844,-3.1070685115181023e+27,8132.0,-742.0,140620018.7295845,2445.0,-64545450.0,8433.0
10069,9139,8114,7702,8906,9015,8493,1,0.10116775207725129,1.2408324597371585,-3.792660632382082e+27,8114.0,-124.0,167928576.04103255,2367.0,-69433027.0,9015.0
10177,9265,8204,7753,8537,8550,8374,1,0.04052945999765726,1.24038525752932,-3.500640880655872e+27,8204.0,-715.0,146326484.17581102,2424.0,-66287265.0,8550.0
10146,9222,8168,7680,8405,8197,8023,1,0.0034503271861986914,1.2420564287558609,-3.0780476774566904e+27,8168.0,-1025.0,131107736.76125436,2466.0,-62952080.0,8197.0
10073,9184,8100,7643,8477,8160,7964,1,0.0070779756989501,1.2434716025868544,-3.0121441185860057e+27,8100.0,-1024.0,130714930.0290124,2430.0,-62365992.0,8160.0
10072,9160,8058,7548,8318,7959,7629,1,-0.011901899495070931,1.2498289597011802,-2.633560573288661e+27,8058.0,-1201.0,120901929.51710801,2524.0,-60073760.0,7959.0
10169,9255,8185,7749,8481,8505,8323,1,0.037731399599103876,1.242287347969135,-3.394450945541243e+27,8185.0,-750.0,143986437.01171267,2420.0,-65904357.0,8505.0
10135,9227,8155,7678,8395,8162,7953,1,0.0008338296605122096,1.242687730660537,-3.004519701445067e+27,8155.0,-1065.0,129238276.88532402,2457.0,-62666973.0,8162.0
10130,9208,8145,7671,8627,8325,8049,1,0.02086472701982149,1.2435994074204937,-3.240373560255795e+27,8145.0,-883.0,137838120.65371004,2459.0,-63860288.0,8325.0
10180,9295,8274,7853,8642,8570,8294,1,0.03425133071048368,1.2302529269937537,-3.580431780981905e+27,8274.0,-725.0,146000883.6445108,2327.0,-67299465.0,8570.0
10145,9259,8211,7807,8686,8565,8255,1,0.040755238314529124,1.2354299729223495,-3.5165594768808124e+27,8211.0,-694.0,146644094.99338093,2338.0,-66866217.0,8565.0
10250,9365,8267,7863,8496,9203,9241,1,0.11016949152542373,1.2397624171563137,-4.318040334870815e+27,8267.0,-162.0,174317714.94732672,2387.0,-72362053.0,9203.0
10224,9309,8261,7890,8600,9400,9391,1,0.13244186046511627,1.2375149878786142,-4.55099831634968e+27,8261.0,91.0,183548863.79145497,2334.0,-74164961.0,9400.0
10225,9308,8222,7789,8304,8830,8902,1,0.07321772639691715,1.2435070544140678,-3.7771838905387266e+27,8222.0,-478.0,157739886.23399276,2436.0,-68775712.0,8830.0
10253,9373,8298,7901,8590,9203,9112,1,0.10535506402793947,1.2354920191864474,-4.3252535804991874e+27,8298.0,-170.0,173687458.5615678,2352.0,-72711919.0,9203.0
10263,9352,8276,7874,8449,8914,8913,1,0.0755118948988046,1.2399846423607495,-3.9863344458658287e+27,8276.0,-438.0,160973083.9901342,2389.0,-70187761.0,8914.0
10217,9313,8251,7852,8562,9290,9256,1,0.12135015183368372,1.2381665971475906,-4.368513806958371e+27,8251.0,-23.0,178510182.21690756,2365.0,-72944052.0,9290.0
10276,9385,8277,7918,8624,9159,9091,1,0.10227272727272728,1.2414058135995167,-4.327238409434504e+27,8277.0,-226.0,172082907.8250144,2358.0,-72519922.0,9159.0
10244,9333,8232,7826,8525,9222,9196,1,0.11612903225806452,1.2443047227915387,-4.266453336993292e+27,8232.0,-111.0,175411082.8261917,2418.0,-72170297.0,9222.0
10262,9367,8308,7913,8583,9064,9025,1,0.08808109052778748,1.2350879626588638,-4.2500852203212244e+27,8308.0,-303.0,167927275.96612749,2349.0,-71722412.0,9064.0
10233,9354,8290,7903,8637,9169,9029,1,0.10177144841959014,1.2342715557076092,-4.276782719453588e+27,8290.0,-185.0,172323932.32361528,2330.0,-72461683.0,9169.0
10261,9369,8305,7940,8639,9302,9224,1,0.1154068757958097,1.2354138297921644,-4.494014857296104e+27,8305.0,-67.0,178255709.05550894,2321.0,-73856894.0,9302.0
10286,9391,8344,7936,8682,9525,9538,1,0.1360285648468095,1.2326354651697362,-4.9107668559000253e+27,8344.0,134.0,189092433.90954643,2350.0,-75589340.0,9525.0
10306,9410,8347,7970,8700,9369,9310,1,0.11747126436781609,1.2345886336894891,-4.710736783601245e+27,8347.0,-41.0,181398087.09451222,2336.0,-74669926.0,9369.0
10272,9415,8361,8017,8831,9805,9820,1,0.16351489072585212,1.2284548424581667,-5.400254264856809e+27,8361.0,390.0,202061698.5339792,2255.0,-78605616.0,9805.0
10252,9363,8310,7933,8730,9312,9178,1,0.11477663230240549,1.233587272149207,-4.545014208940633e+27,8310.0,-51.0,179154796.84829962,2319.0,-73871177.0,9312.0
10296,9418,8391,8043,8850,9502,9385,1,0.12553672316384182,1.226922557161683,-5.000933474226916e+27,8391.0,84.0,187462808.72643405,2253.0,-76423676.0,9502.0
10350,9485,8446,8127,8980,9640,9593,1,0.1329621380846325,1.2253265344406357,-5.479034965784209e+27,8446.0,155.0,194324095.70055693,2223.0,-78343288.0,9640.0
10276,9373,8318,7930,8676,9430,9336,1,0.12816966343937297,1.2352862517466878,-4.6646891325077424e+27,8318.0,57.0,184115663.86608437,2346.0,-74778939.0,9430.0
10314,9404,8354,7990,8795,9686,9572,1,0.15144968732234224,1.2345116551925486,-5.101444220111756e+27,8354.0,282.0,195616726.18374282,2324.0,-77390204.0,9686.0
10301,9403,8342,7969,8694,9482,9403,1,0.13112491373360938,1.2347292526659723,-4.7906220395576246e+27,8342.0,79.0,186177159.89950916,2332.0,-75561076.0,9482.0
10289,9416,8354,7977,8731,9480,9421,1,0.12896575420913986,1.2315191928793876,-4.858297428416957e+27,8354.0,64.0,186469619.03682563,2312.0,-75620957.0,9480.0
10294,9427,8354,7980,8787,9671,9550,1,0.1498805052919085,1.2321178490839286,-5.058958394512995e+27,8354.0,244.0,194784153.4680033,2314.0,-77173628.0,9671.0
10274,9389,8349,7921,8676,9415,9422,1,0.12286768095896726,1.230459866725656,-4.7855711328169414e+27,8349.0,26.0,184301749.0081573,2353.0,-74575168.0,9415.0
10323,9452,8428,8123,9087,9895,9692,1,0.16143941895014857,1.2247397583999857,-5.687518915462374e+27,8428.0,443.0,205540944.76549408,2200.0,-80376264.0,9895.0
10253,9417,8368,8015,8845,9736,9558,1,0.15466365178066704,1.2251565477552506,-5.131260146780706e+27,8368.0,319.0,197457209.38195974,2238.0,-78033169.0,9736.0
10287,9402,8366,8013,8897,9532,9445,1,0.13105541193660786,1.2295133115354118,-5.084117415759051e+27,8366.0,130.0,189869678.25899592,2274.0,-76378967.0,9532.0
10321,9445,8409,8100,9049,9923,9671,1,0.16731130511658746,1.2272693637509193,-5.589261536240222e+27,8409.0,478.0,206199989.88430312,2221.0,-80375516.0,9923.0
10299,9407,8392,8081,8955,9583,9316,1,0.13299832495812394,1.227133594850443,-5.04796290179954e+27,8392.0,176.0,190438888.21460152,2218.0,-77439475.0,9583.0
10275,9382,8354,7981,8866,9547,9334,1,0.13455898939769909,1.2298428817971776,-4.910908307670283e+27,8354.0,165.0,189507748.90913004,2294.0,-76193792.0,9547.0
10311,9420,8421,8087,8973,9621,9359,1,0.13373453694416584,1.2243324379524951,-5.156587096486334e+27,8421.0,201.0,192205474.54920194,2224.0,-77804290.0,9621.0
10679,9919,9198,9181,11995,13078,11378,1,0.3234681117132138,1.1609126233599467,-1.682866886553496e+28,9198.0,3159.0,364289816.15702164,1498.0,-120070097.0,13078.0
10804,10021,9123,8839,10795,11349,10502,1,0.2062065771190366,1.1841601474423908,-1.155711011603767e+28,9123.0,1328.0,276396325.46822655,1965.0,-100313760.0,11349.0
10792,10014,9185,9026,11345,11892,10637,1,0.23860731599823712,1.1748594661586769,-1.3258902637838023e+28,9185.0,1878.0,303245981.8645589,1766.0,-107337618.0,11892.0
10666,9904,9135,8987,11593,12175,10482,1,0.26222720607263006,1.1674962830403075,-1.3143125956246222e+28,9135.0,2271.0,315774623.90635616,1679.0,-109417649.0,12175.0
10681,9904,9098,8964,11433,11957,10460,1,0.25006559958016267,1.173893428128154,-1.2644089487812365e+28,9098.0,2053.0,305473400.685578,1717.0,-107183239.0,11957.0
10683,9937,9201,9194,11850,12716,11118,1,0.29662447257383967,1.1609689634672822,-1.569832566794801e+28,9201.0,2779.0,345271419.8162354,1489.0,-116911766.0,12716.0
10769,9987,9105,8761,10910,11487,10543,1,0.21833180568285976,1.1826568961964623,-1.181172143742234e+28,9105.0,1500.0,284220043.05878127,2008.0,-100637669.0,11487.0
10810,10000,9078,8745,10584,11537,10869,1,0.2323318216175359,1.190690536561702,-1.1789215201660046e+28,9078.0,1537.0,285942686.95117503,2065.0,-100890811.0,11537.0
10704,9967,9190,9084,11496,12188,10775,1,0.2607863604732081,1.1646441071111273,-1.3870917725991934e+28,9190.0,2221.0,317591020.6330966,1620.0,-110716428.0,12188.0
10666,9941,9229,9255,12120,12769,10829,1,0.29207920792079206,1.1556043338648618,-1.5649224575957878e+28,9229.0,2828.0,346667695.2647471,1411.0,-118178323.0,12769.0
10681,9907,9165,9073,11811,12981,11200,1,0.3230886461772924,1.1653111329341848,-1.569951523764077e+28,9165.0,3074.0,356959752.62864184,1608.0,-117777652.0,12981.0
10678,9923,9166,9079,11905,13547,11744,1,0.3679966400671987,1.1648573531630841,-1.7536402766458472e+28,9166.0,3624.0,386259245.98012185,1599.0,-122994259.0,13547.0
10666,9936,9218,9161,11838,13317,11576,1,0.346257813819902,1.1569837361236592,-1.7019574529184141e+28,9218.0,3381.0,374095299.27673095,1505.0,-121998060.0,13317.0
10832,9977,9045,8729,10457,11424,10889,1,0.22750310796595583,1.1974672304949996,-1.148989368456897e+28,9045.0,1447.0,280602098.087361,2103.0,-99719699.0,11424.0
10730,9928,9022,8726,10548,11576,10933,1,0.2421312097080015,1.189213994614656,-1.161513630793667e+28,9022.0,1648.0,288015602.4365403,2004.0,-101011913.0,11576.0
10621,9892,9133,9058,11768,12403,10737,1,0.27787219578518013,1.1628246686404407,-1.4143716884480157e+28,9133.0,2511.0,328876818.9116854,1563.0,-112347281.0,12403.0
10605,9931,9270,9272,12060,12614,10700,1,0.27728026533996686,1.1439123295170053,-1.517512638308539e+28,9270.0,2683.0,338450101.2222128,1333.0,-116958261.0,12614.0
10639,9849,9123,9068,11890,12720,10841,1,0.30252312867956266,1.1660719792222267,-1.4712231886104245e+28,9123.0,2871.0,343694216.6708673,1571.0,-115346113.0,12720.0
10631,9875,9116,9060,11735,12946,11229,1,0.3263740945888368,1.1660902629678869,-1.534020302214649e+28,9116.0,3071.0,354987389.07729936,1571.0,-117291718.0,12946.0
10675,9950,9228,9263,12095,13011,11243,1,0.31277387350144686,1.1567049996344358,-1.6809671508571046e+28,9228.0,3061.0,360648394.24025244,1412.0,-120521939.0,13011.0
10759,9917,8922,8534,10079,11140,10884,1,0.2200615140390912,1.205794562924565,-1.030643116178349e+28,8922.0,1223.0,267383950.64973083,2225.0,-95068021.0,11140.0
10655,9791,8845,8618,10947,11823,10195,1,0.2720380012788892,1.204533402969145,-1.038278426179389e+28,8845.0,2032.0,294803516.51664215,2037.0,-101891296.0,11823.0
10599,9732,8759,8469,10100,11323,10330,1,0.25386138613861386,1.2099663924207493,-8.851509520731819e+27,8759.0,1591.0,269803190.56298274,2130.0,-95894507.0,11323.0
10651,9912,9171,9115,11806,12836,11245,1,0.31043537184482467,1.1612775641213122,-1.5788768370940102e+28,9171.0,2924.0,351506714.8157052,1536.0,-117000990.0,12836.0
10627,9877,9122,9088,11857,12765,11068,1,0.3072446655983807,1.1648846423761923,-1.5229258614968616e+28,9122.0,2888.0,347440991.59809005,1539.0,-116009262.0,12765.0
10634,9768,8849,8620,10831,11659,10295,1,0.2594404948758194,1.2016155439680358,-1.0353206227454412e+28,8849.0,1891.0,288594606.17307454,2014.0,-100501025.0,11659.0
10585,9785,9022,8949,11575,12366,10726,1,0.2888984881209503,1.1731411166550094,-1.32804899434504e+28,9022.0,2581.0,325978078.13894904,1636.0,-110664211.0,12366.0
10610,9732,8858,8609,12516,12499,9888,1,0.29090763822307447,1.1976846000656556,-1.2750721651341119e+28,8858.0,2767.0,334485397.46953577,2001.0,-107605628.0,12499.0
10692,9914,9048,8828,10798,11671,10746,1,0.24291535469531395,1.1815988708857894,-1.1785403535592358e+28,9048.0,1757.0,291667466.32113653,1864.0,-103031647.0,11671.0
10706,9917,8954,8634,10226,11020,10621,1,0.2020340309016233,1.1955656214087982,-1.0125204850835531e+28,8954.0,1103.0,261023706.3166287,2072.0,-95146116.0,11020.0
10626,9746,8819,8589,10442,11502,10191,1,0.2569431143459108,1.2047963601763036,-9.358569782517187e+27,8819.0,1756.0,277705000.46818614,2037.0,-98791062.0,11502.0
10590,9733,8785,8511,10121,11292,10328,1,0.2477027961663867,1.2053605656483746,-8.930151059695424e+27,8785.0,1559.0,268559089.1871201,2079.0,-96106228.0,11292.0
10672,9827,8872,8687,11022,12621,10782,1,0.3401379060061695,1.2027841916442483,-1.186337767145503e+28,8872.0,2794.0,331239374.2404655,1985.0,-109639511.0,12621.0
10559,9703,8782,8549,12068,12699,10299,1,0.3245773947630096,1.2022427105948854,-1.2579702768064596e+28,8782.0,2996.0,342013791.97605383,2010.0,-108565230.0,12699.0
10537,9661,8743,8534,10964,11957,10308,1,0.29314118934695366,1.2050893910278666,-1.0287854550480074e+28,8743.0,2296.0,301990300.6658353,2003.0,-102041769.0,11957.0
10614,9834,9074,9024,11678,12402,10796,1,0.2849803048467203,1.1696141080878368,-1.3891186159867414e+28,9074.0,2568.0,328741432.12004864,1590.0,-111916494.0,12402.0
10576,9833,9106,9081,11725,12204,10621,1,0.2642217484008529,1.1613304239615931,-1.3599823096875168e+28,9106.0,2371.0,319304915.44790083,1495.0,-110825380.0,12204.0
10679,9832,8888,8651,10727,11796,10659,1,0.27109163792299806,1.201407596789262,-1.1028797661908602e+28,8888.0,1964.0,296062808.1293298,2028.0,-102047389.0,11796.0
10630,9907,9186,9206,12007,12844,11120,1,0.3046556175564254,1.1570949166472166,-1.5990599533328602e+28,9186.0,2937.0,352071528.9371532,1424.0,-118242867.0,12844.0
10614,9861,9115,9057,11748,12748,11189,1,0.309244126659857,1.1643529830634582,-1.5237118927962212e+28,9115.0,2887.0,347174102.6452337,1557.0,-115459449.0,12748.0
10667,9833,8896,8726,11274,12220,10275,1,0.29483767961681745,1.1989766515808777,-1.1327956451676018e+28,8896.0,2387.0,313225715.6667443,1941.0,-106632728.0,12220.0
10649,9810,8841,8631,10673,11662,10206,1,0.26431181485992694,1.204400058623863,-9.876333811367764e+27,8841.0,1852.0,285751537.0062689,2018.0,-100655209.0,11662.0
10641,9778,8854,8652,10952,11625,10087,1,0.25301314828341853,1.2017275416804059,-1.0180577059415072e+28,8854.0,1847.0,286080807.42712325,1989.0,-100580114.0,11625.0
10644,9806,8883,8675,10644,11595,10314,1,0.2547914317925592,1.198142199329079,-1.012250922341471e+28,8883.0,1789.0,283839360.75425404,1969.0,-100586983.0,11595.0
10628,9792,8842,8620,10433,11571,10455,1,0.26157385219975077,1.201883234468763,-9.885964831463043e+27,8842.0,1779.0,282539689.7070377,2008.0,-99742186.0,11571.0
10647,9816,8871,8617,10442,11658,10609,1,0.2669028921662517,1.2001003587893688,-1.0282262673541722e+28,8871.0,1842.0,287489304.378529,2030.0,-100457090.0,11658.0
10653,9926,9247,9326,12347,13080,11136,1,0.31043978294322505,1.1519486570827702,-1.7220866006934737e+28,9247.0,3154.0,364745664.65648437,1327.0,-121985345.0,13080.0
10640,9791,8867,8668,10868,11997,10554,1,0.2880014722119985,1.1998531134986385,-1.1005974168916452e+28,8867.0,2206.0,303936657.3569663,1972.0,-103990515.0,11997.0
10707,9834,8917,8716,11190,12292,10442,1,0.30160857908847183,1.2006386211663003,-1.1623392193095018e+28,8917.0,2458.0,317009205.03700835,1991.0,-107138005.0,12292.0
10672,9875,8937,8642,10373,11174,10620,1,0.21565603007808734,1.1940350160429065,-1.034396700696892e+28,8937.0,1299.0,268491983.7884449,2030.0,-96565324.0,11174.0
10633,9837,8978,8813,10903,11646,10591,1,0.24470329267174173,1.1842381965699078,-1.1428282863178955e+28,8978.0,1809.0,290490015.73157406,1820.0,-102636394.0,11646.0
10573,9810,9059,9033,11696,12566,10940,1,0.29984610123119015,1.167024823645899,-1.4205879269785704e+28,9059.0,2756.0,336810732.1802869,1540.0,-113509553.0,12566.0
10591,9816,9036,8953,11532,12422,11007,1,0.2936177592785293,1.1719877564228975,-1.3932742721747061e+28,9036.0,2606.0,330753200.07797676,1638.0,-111214801.0,12422.0
10691,9825,8884,8696,10751,11986,10649,1,0.288531299414008,1.2032986921320066,-1.1059890118263113e+28,8884.0,2161.0,302933795.7518122,1995.0,-104230652.0,11986.0
10594,9861,9092,9004,11531,12561,11246,1,0.3008412106495534,1.1650991523379157,-1.472681834895414e+28,9092.0,2700.0,338409968.62862295,1590.0,-113099790.0,12561.0
10671,9826,8933,8773,11402,12534,10623,1,0.31582178565164004,1.194457871392692,-1.2492697648788906e+28,8933.0,2708.0,330170680.39517206,1898.0,-109961800.0,12534.0
10612,9826,9023,8884,11301,12019,10898,1,0.2651092823643925,1.176004012366426,-1.3104682934296736e+28,9023.0,2193.0,312061648.9073273,1728.0,-106777114.0,12019.0
10533,9744,8935,8758,11097,11779,10483,1,0.2562854825628548,1.1787447850334132,-1.1379509597701845e+28,8935.0,2035.0,297204013.5813637,1775.0,-103160969.0,11779.0
10571,9796,8981,8798,11051,11913,10779,1,0.2653153560763732,1.1769387455778506,-1.2098334060176324e+28,8981.0,2117.0,304567117.43694365,1773.0,-104810893.0,11913.0
10668,9803,8894,8751,11794,12421,10301,1,0.2990503645921655,1.199358376048468,-1.245541732761065e+28,8894.0,2618.0,326843876.8248467,1917.0,-108697382.0,12421.0
