B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
10096,9193,8204,7765,8995,8838,8182,1,571398790196.8104,82605472.0,791480362240.0,71383645.0,8182.0,1.0,9193.0,-47767852.9052901,-11.961988304093568,8204.0
10030,9196,8252,7877,9804,9524,8718,1,673169759286.8693,87441540.0,792433289300.0,72436892.0,8718.0,1.0,9196.0,-46639244.10712554,14.175609756097561,8252.0
10098,9214,8202,7761,8870,8664,8374,1,576382177154.8293,84560652.0,791386096644.0,71509854.0,8374.0,1.0,9214.0,-49410437.828090705,-13.616260162601627,8202.0
10138,9240,8198,7745,8640,8635,8334,1,557600112774.8221,84490092.0,796023695780.0,71563800.0,8334.0,1.0,9240.0,-50468302.81580873,-9.168316831683168,8198.0
10099,9175,8132,7654,8398,8433,8122,1,521986255424.80426,82024078.0,780629936854.0,70225450.0,8122.0,1.0,9175.0,-49916331.8224299,-6.587185725871858,8132.0
10069,9139,8114,7702,8906,9015,8493,1,582483419406.8435,85516017.0,780865429222.0,70388578.0,8493.0,1.0,9139.0,-49608525.73058911,-22.830645161290324,8114.0
10177,9265,8204,7753,8537,8550,8374,1,554167730442.8229,85222198.0,802988513737.0,71831545.0,8374.0,1.0,9265.0,-51434389.515967816,-8.217860647693817,8204.0
10146,9222,8168,7680,8405,8197,8023,1,517806449819.7908,81401358.0,790589306880.0,70824960.0,8023.0,1.0,9222.0,-49691090.92556317,-5.738912732474964,8168.0
10073,9184,8100,7643,8477,8160,7964,1,515905029068.79065,80221372.0,775499509547.0,70193312.0,7964.0,1.0,9184.0,-48362466.12320988,-6.246274509803921,8100.0
10072,9160,8058,7548,8318,7959,7629,1,478904303139.7575,76839288.0,765708248832.0,69139680.0,7629.0,1.0,9160.0,-47110813.25316455,-4.560071727435744,8058.0
10169,9255,8185,7749,8481,8505,8323,1,546896830977.8185,84636587.0,801312939189.0,71716995.0,8323.0,1.0,9255.0,-51214612.44917532,-7.471274685816876,8185.0
10135,9227,8155,7678,8395,8162,7953,1,512544398322.7848,80603655.0,788670531550.0,70844906.0,7953.0,1.0,9227.0,-49165597.16063765,-5.428668941979522,8155.0
10130,9208,8145,7671,8627,8325,8049,1,532582899714.7946,81536370.0,787174239900.0,70634568.0,8049.0,1.0,9208.0,-48829460.09558011,-7.1546666666666665,8145.0
10180,9295,8274,7853,8642,8570,8294,1,562793060830.8148,84432920.0,813825237200.0,72993635.0,8294.0,1.0,9295.0,-50409790.2467972,-7.560619872379216,8274.0
10145,9259,8211,7807,8686,8565,8255,1,559701019280.8137,83746975.0,803504442175.0,72285013.0,8255.0,1.0,9259.0,-49651229.163926445,-8.165182987141444,8211.0
10250,9365,8267,7863,8496,9203,9241,1,617241478077.9016,94720250.0,826106437500.0,73636995.0,9241.0,1.0,9365.0,-57373631.01717672,-24.57712765957447,8267.0
10224,9309,8261,7890,8600,9400,9391,1,637120891025.9186,96013584.0,824743088640.0,73448010.0,9391.0,1.0,9309.0,-57436409.80183998,-76.34959349593495,8261.0
10225,9308,8222,7789,8304,8830,8902,1,575689046260.8706,91022950.0,814344818125.0,72500012.0,8902.0,1.0,9308.0,-55999448.26076381,-11.017326732673267,8222.0
10253,9373,8298,7901,8590,9203,9112,1,618334269632.8888,93425336.0,830584795109.0,74056073.0,9112.0,1.0,9373.0,-56152563.836105086,-20.15929203539823,8298.0
