B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
10096,9193,8204,7765,8995,8838,8182,1,-1624.1987591217812,1.0,-341645.34214145964,0.0001147901430747165,1.1029759838044577e-08,101929216.0,1.122504877698762e-09,4.2215070416126965e-05,9193.0,1.0613618423793229e-16,75427576.0,6.125773036320638e-05
10030,9196,8252,7877,9804,9524,8718,1,-1971.8428950138568,1.0,-1624501.458346951,0.00011431148837002012,9.335845406215285e-09,100600900.0,9.734216446023604e-08,4.268361471785386e-05,9196.0,1.184066057624301e-16,75893644.0,6.128863079237405e-05
10098,9214,8202,7761,8870,8664,8374,1,-1837.8934191864837,1.0,-305538.91753300955,0.00011458243129702043,1.1314212138067048e-08,101969604.0,-6.411785838317684e-09,4.3455632673285834e-05,9214.0,8.866340877423234e-17,75581430.0,6.319409123323556e-05
10138,9240,8198,7745,8640,8635,8334,1,-1843.11495840542,1.0,-250283.46589022432,0.00011443996976262408,1.1885253735176575e-08,102779044.0,-1.5729261784630877e-08,4.377818396770051e-05,9240.0,8.821302878870161e-17,75757718.0,6.389789781436528e-05
10099,9175,8132,7654,8398,8433,8122,1,-1737.849893925626,1.0,-218885.1759449512,0.000115352292635956,1.2567229797871993e-08,101989801.0,1.9726652389307142e-09,4.3884314459499735e-05,9175.0,9.068879570362135e-17,74619232.0,6.418691330310289e-05
10069,9139,8114,7702,8906,9015,8493,1,-2003.0368044927282,1.0,-309498.8452767679,0.00011558485687782713,1.1193629923613449e-08,101384761.0,1.595736554989675e-08,4.4610107168861555e-05,9139.0,1.1018863503461471e-16,74161960.0,6.478007085855126e-05
10177,9265,8204,7753,8537,8550,8374,1,-1887.248113770852,1.0,-229477.9978229392,0.00011421979019523638,1.214981500079487e-08,103571329.0,-2.3900301239751556e-08,4.410249146104981e-05,9265.0,8.26208174321236e-17,76018264.0,6.450994329025948e-05
10146,9222,8168,7680,8405,8197,8023,1,-1628.1895346995807,1.0,-219421.51791358503,0.0001148549062829898,1.253762210394369e-08,102941316.0,4.05249509338705e-08,4.307981701891574e-05,9222.0,8.213737828268682e-17,75333464.0,6.302614814505475e-05
10073,9184,8100,7643,8477,8160,7964,1,-1604.4718725823923,1.0,-236433.9842716631,0.00011556319464118502,1.227350990729403e-08,101465329.0,3.344332317503573e-08,4.302863731605373e-05,9184.0,8.737439283087228e-17,74398500.0,6.28503577964172e-05
10072,9160,8058,7548,8318,7959,7629,1,-1410.361470649248,1.0,-216882.6944767617,0.00011611605631894214,1.2714343993488121e-08,101445184.0,1.89375707082906e-07,4.225434096142963e-05,9160.0,9.426434934992104e-17,73819338.0,6.171275288335426e-05
10169,9255,8185,7749,8481,8505,8323,1,-1835.9367633929014,1.0,-222596.4205545537,0.00011442654934024821,1.2295554927091662e-08,103408561.0,-2.256382384322946e-08,4.3998477729758084e-05,9255.0,8.369445632708485e-17,75760360.0,6.443884327948389e-05
10135,9227,8155,7678,8395,8162,7953,1,-1564.9874594347102,1.0,-219890.7179780738,0.00011493517486282798,1.2540707654610559e-08,102718225.0,6.217102455709505e-08,4.2759242461106404e-05,9227.0,8.385817513386037e-17,75254340.0,6.257940553861023e-05
10130,9208,8145,7671,8627,8325,8049,1,-1659.4803349116064,1.0,-252347.4412553424,0.00011508265687376703,1.1885191452437507e-08,102616900.0,1.8159009138242e-08,4.293379887494173e-05,9208.0,9.071203775752313e-17,75007305.0,6.255347237752435e-05
10180,9295,8274,7853,8642,8570,8294,1,-1660.3008035275652,1.0,-249959.39562810533,0.00011365495397709915,1.191893903837908e-08,103632400.0,-3.250164723805806e-09,4.2646247431203366e-05,9295.0,8.120861337874334e-17,76915104.0,6.242765243628053e-05
10145,9259,8211,7807,8686,8565,8255,1,-1673.3111230955883,1.0,-260161.06835507785,0.00011428916550665038,1.1754179482918768e-08,102921025.0,-5.836468314244381e-09,4.280819736603207e-05,9259.0,8.776107811625833e-17,76033860.0,6.257044623112355e-05
10250,9365,8267,7863,8496,9203,9241,1,-2640.0259857879637,1.0,-205991.50254032126,0.000112862401458121,1.2229568908149844e-08,105062500.0,2.620997805693635e-08,4.772950467135065e-05,9365.0,7.306735831942831e-17,77428722.0,7.010024137285903e-05
10224,9309,8261,7890,8600,9400,9391,1,-2704.6124761281408,1.0,-218952.50367347698,0.00011324223697303402,1.1998658404455268e-08,104530176.0,9.66437043936245e-08,4.8093979058478924e-05,9309.0,7.7055177845063e-17,76909910.0,7.058158065010964e-05
10225,9308,8222,7789,8304,8830,8902,1,-2385.050530333224,1.0,-190157.64232023866,0.00011361920868356534,1.2809919979537048e-08,104550625.0,-4.88457233467225e-08,4.7009407520982146e-05,9308.0,7.207014060334201e-17,76538598.0,6.914802433367292e-05
10253,9373,8298,7901,8590,9203,9112,1,-2452.7606411243014,1.0,-220259.67716990627,0.00011269034578767323,1.1997989728579407e-08,105124009.0,1.0109081862856025e-08,4.652907296648832e-05,9373.0,7.624243754478784e-17,77785452.0,6.828025170714492e-05
10263,9352,8276,7874,8449,8914,8913,1,-2284.363341897282,1.0,-204328.29987779236,0.00011302734059796978,1.2396679225554812e-08,105329169.0,-3.4522670342062084e-08,4.602188417589307e-05,9352.0,7.303163269005023e-17,77405428.0,6.767136075201536e-05
10217,9313,8251,7852,8562,9290,9256,1,-2636.7238265993055,1.0,-216160.71642160093,0.00011330555744420228,1.2085553275612986e-08,104387089.0,5.7517714918602375e-08,4.7798248353435045e-05,9313.0,7.75647782192888e-17,76849814.0,7.010324922576846e-05
10276,9385,8277,7918,8624,9159,9091,1,-2411.6302207420404,1.0,-222116.17409238822,0.00011274817325289052,1.1858265850191205e-08,105596176.0,1.4433874852417378e-08,4.6266185408763857e-05,9385.0,7.81812152258057e-17,77687922.0,6.792438276061384e-05
