B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1
10096,9193,8204,7765,8995,8838,8182,1,7.868393660636141e-12
10030,9196,8252,7877,9804,9524,8718,1,4.852482710725031e-12
10098,9214,8202,7761,8870,8664,8374,1,8.498994044958063e-12
10138,9240,8198,7745,8640,8635,8334,1,1.0472108679328927e-11
10099,9175,8132,7654,8398,8433,8122,1,1.2866463134597251e-11
10069,9139,8114,7702,8906,9015,8493,1,7.769613154505981e-12
10177,9265,8204,7753,8537,8550,8374,1,1.1835856711829026e-11
10146,9222,8168,7680,8405,8197,8023,1,1.3268197771377063e-11
10073,9184,8100,7643,8477,8160,7964,1,1.1736934725923336e-11
10072,9160,8058,7548,8318,7959,7629,1,1.304568804060148e-11
10169,9255,8185,7749,8481,8505,8323,1,1.2794608217127136e-11
10135,9227,8155,7678,8395,8162,7953,1,1.3556195970052791e-11
10130,9208,8145,7671,8627,8325,8049,1,1.00655683254968e-11
10180,9295,8274,7853,8642,8570,8294,1,1.2036978145005689e-11
10145,9259,8211,7807,8686,8565,8255,1,1.0890560160810966e-11
10250,9365,8267,7863,8496,9203,9241,1,1.3319081805057103e-11
10224,9309,8261,7890,8600,9400,9391,1,1.1874827891545067e-11
10225,9308,8222,7789,8304,8830,8902,1,1.6911083151090065e-11
10253,9373,8298,7901,8590,9203,9112,1,1.2468901257251518e-11
10263,9352,8276,7874,8449,8914,8913,1,1.5229994995997346e-11
10217,9313,8251,7852,8562,9290,9256,1,1.1949763323242121e-11
10276,9385,8277,7918,8624,9159,9091,1,1.2237235228070291e-11
10244,9333,8232,7826,8525,9222,9196,1,1.210618625810017e-11
10262,9367,8308,7913,8583,9064,9025,1,1.2966754838970786e-11
10233,9354,8290,7903,8637,9169,9029,1,1.1876634207364644e-11
10261,9369,8305,7940,8639,9302,9224,1,1.2246781556229395e-11
10286,9391,8344,7936,8682,9525,9538,1,1.0981824949624976e-11
10306,9410,8347,7970,8700,9369,9310,1,1.154606310052238e-11
10272,9415,8361,8017,8831,9805,9820,1,9.94384431083426e-12
10252,9363,8310,7933,8730,9312,9178,1,1.0785589553053249e-11
10296,9418,8391,8043,8850,9502,9385,1,1.0497536289084465e-11
10350,9485,8446,8127,8980,9640,9593,1,9.734827981583971e-12
10276,9373,8318,7930,8676,9430,9336,1,1.1270030087394402e-11
10314,9404,8354,7990,8795,9686,9572,1,1.0224940038173668e-11
10301,9403,8342,7969,8694,9482,9403,1,1.1528882213694853e-11
10289,9416,8354,7977,8731,9480,9421,1,1.1068193585400963e-11
10294,9427,8354,7980,8787,9671,9550,1,1.0192406460740773e-11
10274,9389,8349,7921,8676,9415,9422,1,1.0951575803109007e-11
10323,9452,8428,8123,9087,9895,9692,1,8.587926124370726e-12
10253,9417,8368,8015,8845,9736,9558,1,1.0022515475430713e-11
10287,9402,8366,8013,8897,9532,9445,1,9.504060916785544e-12
10321,9445,8409,8100,9049,9923,9671,1,8.720961098700796e-12
10299,9407,8392,8081,8955,9583,9316,1,9.864557841739604e-12
10275,9382,8354,7981,8866,9547,9334,1,9.574846588531926e-12
10311,9420,8421,8087,8973,9621,9359,1,9.642649036974624e-12
10679,9919,9198,9181,11995,13078,11378,1,2.7020791742874514e-12
10804,10021,9123,8839,10795,11349,10502,1,3.850632667198352e-12
10792,10014,9185,9026,11345,11892,10637,1,3.3272241998848713e-12
10666,9904,9135,8987,11593,12175,10482,1,3.0640098275598824e-12
10681,9904,9098,8964,11433,11957,10460,1,3.2328268319632244e-12
10683,9937,9201,9194,11850,12716,11118,1,2.930695581230659e-12
10769,9987,9105,8761,10910,11487,10543,1,3.4595241105550586e-12
10810,10000,9078,8745,10584,11537,10869,1,3.8988132854163146e-12
10704,9967,9190,9084,11496,12188,10775,1,3.2384231747348245e-12
10666,9941,9229,9255,12120,12769,10829,1,2.8213279222480845e-12
10681,9907,9165,9073,11811,12981,11200,1,2.7679854820006174e-12
10678,9923,9166,9079,11905,13547,11744,1,2.5572610938217522e-12
10666,9936,9218,9161,11838,13317,11576,1,2.772228417180312e-12
10832,9977,9045,8729,10457,11424,10889,1,4.14266730021109e-12
10730,9928,9022,8726,10548,11576,10933,1,3.9772087237589745e-12
10621,9892,9133,9058,11768,12403,10737,1,2.938660493874545e-12
10605,9931,9270,9272,12060,12614,10700,1,2.951799874282046e-12
10639,9849,9123,9068,11890,12720,10841,1,2.8116810111179716e-12
10631,9875,9116,9060,11735,12946,11229,1,2.8554593909487636e-12
10675,9950,9228,9263,12095,13011,11243,1,2.749345491691862e-12
10759,9917,8922,8534,10079,11140,10884,1,4.549606340830887e-12
10655,9791,8845,8618,10947,11823,10195,1,3.389830000895722e-12
10599,9732,8759,8469,10100,11323,10330,1,4.711817538843735e-12
10651,9912,9171,9115,11806,12836,11245,1,2.835775309935016e-12
10627,9877,9122,9088,11857,12765,11068,1,2.814613252968886e-12
10634,9768,8849,8620,10831,11659,10295,1,3.5514273595934994e-12
10585,9785,9022,8949,11575,12366,10726,1,3.0427199826544892e-12
10610,9732,8858,8609,12516,12499,9888,1,2.097492354916108e-12
10692,9914,9048,8828,10798,11671,10746,1,3.83840794903686e-12
