B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10096,9193,8204,7765,8995,8838,8182,1,-154.03548443524477,10207487.409310216,-93819224296.25888,-2.1248703874129344e+16,10096.0,-6.121728111276529e+25
10030,9196,8252,7877,9804,9524,8718,1,-22.536868629602733,10168793.211593263,-126701263814.69812,-2.3352852693117372e+16,10030.0,-1.4000524204544728e+26
10098,9214,8202,7761,8870,8664,8374,1,-53.367137208157985,10766339.124058235,-39844406320.987114,-2.1119534318675744e+16,10098.0,-5.293326241203446e+25
10138,9240,8198,7745,8640,8635,8334,1,-145.13729344908958,11150367.11508782,-41155836648.49457,-2.0720647197196864e+16,10138.0,-3.4946974429248863e+25
10099,9175,8132,7654,8398,8433,8122,1,498.1722796486126,10933086.251106938,-41080380892.91346,-1.96574953382166e+16,10099.0,-1.9258605045944262e+25
10069,9139,8114,7702,8906,9015,8493,1,-67.0626944555398,11100576.980974916,-74883730692.31367,-2.071699171582168e+16,10069.0,-6.676626689158122e+25
10177,9265,8204,7753,8537,8550,8374,1,-133.9076421458232,11478235.244417591,-23746179492.34487,-2.066954046810784e+16,10177.0,-2.647587084384554e+25
10146,9222,8168,7680,8405,8197,8023,1,-372.2938879009614,10936225.153221687,-22309512754.08636,-1.9909393325608924e+16,10146.0,-1.6471504546702405e+25
10073,9184,8100,7643,8477,8160,7964,1,-124.22517380612949,11243289.429318631,-24912308824.497734,-1.97059979868092e+16,10073.0,-2.5244981514664516e+25
10072,9160,8058,7548,8318,7959,7629,1,267.70327482462227,11035809.617281701,-40667865540.367096,-1.8932767649949904e+16,10072.0,-1.570647739699396e+25
10169,9255,8185,7749,8481,8505,8323,1,-184.88288658098315,11543978.975279195,-24418868373.25178,-2.049823207028156e+16,10169.0,-2.2912125740866553e+25
10135,9227,8155,7678,8395,8162,7953,1,-854.9345599543495,11078238.124050077,-26703981613.46247,-1.9869042128560484e+16,10135.0,-1.6201561077621975e+25
10130,9208,8145,7671,8627,8325,8049,1,-107.38910029720537,11051967.433498135,-36021143413.20307,-2.020990525654694e+16,10130.0,-3.4640556738524267e+25
10180,9295,8274,7853,8642,8570,8294,1,-233.11950319393483,10807757.58315758,-37939195245.29355,-2.1364862322008816e+16,10180.0,-2.8415747866633025e+25
10145,9259,8211,7807,8686,8565,8255,1,-128.27626674428544,11114049.642114235,-42406079793.19085,-2.109323375268764e+16,10145.0,-3.607854711557952e+25
10250,9365,8267,7863,8496,9203,9241,1,-76.56595275164054,13221941.150330884,5316467478.69703,-2.170990829390799e+16,10250.0,-2.3571338059601884e+25
10224,9309,8261,7890,8600,9400,9391,1,-58.62413663052556,12651016.648785055,-1507795609.5301306,-2.1933125870615496e+16,10224.0,-3.6788032351299854e+25
10225,9308,8222,7789,8304,8830,8902,1,-141.60617704141458,12612392.388943577,9696212137.447758,-2.072850287953265e+16,10225.0,-6.988421106870155e+24
10253,9373,8298,7901,8590,9203,9112,1,-96.95435021453811,12668580.742456285,-13473269852.251904,-2.2027888859755264e+16,10253.0,-2.939920194770944e+25
10263,9352,8276,7874,8449,8914,8913,1,-121.87723712547644,12440011.811716115,-311392665.71452945,-2.150813610183083e+16,10263.0,-1.5924287429943607e+25
10217,9313,8251,7852,8562,9290,9256,1,-70.32657176652711,12687751.162746437,-5140575944.518104,-2.16354724355502e+16,10217.0,-3.2506134495288942e+25
10276,9385,8277,7918,8624,9159,9091,1,-71.1667456111375,13126392.294921866,-10073624611.507113,-2.2183892885754776e+16,10276.0,-3.4749747269282363e+25
10244,9333,8232,7826,8525,9222,9196,1,-74.15613209595068,13202952.972931918,-3928796790.281544,-2.148122516394859e+16,10244.0,-3.0329530463907778e+25
10262,9367,8308,7913,8583,9064,9025,1,-85.86656219309916,12313698.153312832,-5779610813.553278,-2.202449535165571e+16,10262.0,-2.679083492636273e+25
10233,9354,8290,7903,8637,9169,9029,1,-92.71441509155352,12384149.425014341,-20620304154.136852,-2.2023151829241644e+16,10233.0,-3.40548425398775e+25
10261,9369,8305,7940,8639,9302,9224,1,-75.67169549378757,12648395.23560355,-11744983822.088966,-2.233716884364058e+16,10261.0,-3.4754176834707093e+25
10286,9391,8344,7936,8682,9525,9538,1,-55.55277535176591,12802635.968586799,1788967837.941917,-2.264750269115575e+16,10286.0,-3.925470540215866e+25
10306,9410,8347,7970,8700,9369,9310,1,-66.37368938785214,12731487.064489292,-9015045041.285809,-2.2778985713482164e+16,10306.0,-3.8359134733599485e+25
10272,9415,8361,8017,8831,9805,9820,1,-38.54357852156189,13256972.839790527,2177761280.8502216,-2.3508585105148744e+16,10272.0,-5.825858786468083e+25
10252,9363,8310,7933,8730,9312,9178,1,-66.43120289141015,12404085.425960893,-20116952778.5891,-2.24373145792982e+16,10252.0,-4.359492321070084e+25
10296,9418,8391,8043,8850,9502,9385,1,-55.12130504324135,12259910.651211904,-18173597792.338726,-2.347101454542628e+16,10296.0,-5.082177957502843e+25
10350,9485,8446,8127,8980,9640,9593,1,-38.99243842881417,12679734.321748663,-7564782073.033544,-2.4462226294448476e+16,10350.0,-6.303702379427383e+25
