B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
10096,9193,8204,7765,8995,8838,8182,1,664844378959.2308,7765.0,67125128.0,-1.407757159610622e-07,5237.707537064216
10030,9196,8252,7877,9804,9524,8718,1,763621898863.2147,7877.0,71940936.0,1.3175144352633528e-07,5400.522302017314
10098,9214,8202,7761,8870,8664,8374,1,668572797131.2314,7761.0,68683548.0,-9.721410949891875e-08,4717.2885541090545
10138,9240,8198,7745,8640,8635,8334,1,665023941119.236,7745.0,68322132.0,-9.194712951004477e-08,4468.461207211738
10099,9175,8132,7654,8398,8433,8122,1,628496289649.2421,7654.0,66048104.0,-7.804355021729396e-08,4436.833295744575
10069,9139,8114,7702,8906,9015,8493,1,699796159750.2351,7702.0,68912202.0,-4.0927149704748164e-07,4357.093904705005
10177,9265,8204,7753,8537,8550,8374,1,663428700559.2382,7753.0,68700296.0,-8.05179789281119e-08,4259.792556526976
10146,9222,8168,7680,8405,8197,8023,1,606555830177.243,7680.0,65531864.0,-5.762361377755951e-08,4670.290906344435
10073,9184,8100,7643,8477,8160,7964,1,596908018559.2412,7643.0,64508400.0,-5.642223709827479e-08,4754.617079822168
10072,9160,8058,7548,8318,7959,7629,1,556261784039.2506,7548.0,61474482.0,-4.870373249298015e-08,5044.145582845253
10169,9255,8185,7749,8481,8505,8323,1,655210501499.2379,7749.0,68123755.0,-7.733341974907354e-08,4276.074143006357
10135,9227,8155,7678,8395,8162,7953,1,599021831806.2424,7678.0,64856715.0,-5.5237836696773546e-08,4778.137273218355
10130,9208,8145,7671,8627,8325,8049,1,617083972559.2428,7671.0,65559105.0,-6.329320937531891e-08,4792.6456861484
10180,9295,8274,7853,8642,8570,8294,1,660761602929.2285,7853.0,68624556.0,-7.724202826683493e-08,4816.431443928028
10145,9259,8211,7807,8686,8565,8255,1,654725056073.2305,7807.0,67781805.0,-7.931507104056439e-08,4788.309172321391
10250,9365,8267,7863,8496,9203,9241,1,796523124349.2329,7863.0,76395347.0,-3.6278527078150804e-07,2896.7371438079826
10224,9309,8261,7890,8600,9400,9391,1,821832600248.2283,7890.0,77579051.0,6.417612293788391e-07,2889.399506678674
10225,9308,8222,7789,8304,8830,8902,1,731728705655.2383,7789.0,73192244.0,-1.2886063757297855e-07,3122.654039572826
