B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2
10096,9193,8204,7765,8995,8838,8182,1,-1.0029299486046752e-12,3.466056053938662e-24
10030,9196,8252,7877,9804,9524,8718,1,-7.529982822734358e-13,2.0128113430054343e-24
10098,9214,8202,7761,8870,8664,8374,1,-1.0206954633066543e-12,4.027091651712439e-24
10138,9240,8198,7745,8640,8635,8334,1,-1.1007680960043106e-12,4.888457054692988e-24
10099,9175,8132,7654,8398,8433,8122,1,-1.2058907046795154e-12,6.180793768216191e-24
10069,9139,8114,7702,8906,9015,8493,1,-9.820000078231128e-13,3.4689958068734014e-24
10177,9265,8204,7753,8537,8550,8374,1,-1.1336291182179142e-12,5.633893111548696e-24
10146,9222,8168,7680,8405,8197,8023,1,-1.220330979721241e-12,6.646461105636514e-24
10073,9184,8100,7643,8477,8160,7964,1,-1.1953940350353361e-12,5.96117047387709e-24
10072,9160,8058,7548,8318,7959,7629,1,-1.2883198636372231e-12,6.664507112467769e-24
10169,9255,8185,7749,8481,8505,8323,1,-1.1630328730071605e-12,6.1016724961948685e-24
10135,9227,8155,7678,8395,8162,7953,1,-1.2361733557640957e-12,6.763153209824993e-24
10130,9208,8145,7671,8627,8325,8049,1,-1.1240178254445288e-12,4.948914648041166e-24
10180,9295,8274,7853,8642,8570,8294,1,-1.1316616533384286e-12,5.561209030412654e-24
10145,9259,8211,7807,8686,8565,8255,1,-1.1105541891907644e-12,5.0639600055014486e-24
10250,9365,8267,7863,8496,9203,9241,1,-1.0643640674116275e-12,5.909281425553348e-24
10224,9309,8261,7890,8600,9400,9391,1,-1.0193562060274626e-12,5.174061124879885e-24
10225,9308,8222,7789,8304,8830,8902,1,-1.1639932974241043e-12,7.927448993487868e-24
10253,9373,8298,7901,8590,9203,9112,1,-1.0541926008114984e-12,5.417804291366428e-24
10263,9352,8276,7874,8449,8914,8913,1,-1.1237679845248804e-12,6.917106809278258e-24
10217,9313,8251,7852,8562,9290,9256,1,-1.038695313283206e-12,5.262498401575695e-24
10276,9385,8277,7918,8624,9159,9091,1,-1.0463307721973175e-12,5.333662657707356e-24
10244,9333,8232,7826,8525,9222,9196,1,-1.0493684235488565e-12,5.358446998896993e-24
10262,9367,8308,7913,8583,9064,9025,1,-1.0692660379781248e-12,5.7634779053547026e-24
10233,9354,8290,7903,8637,9169,9029,1,-1.0491862199963632e-12,5.165416552739629e-24
10261,9369,8305,7940,8639,9302,9224,1,-1.033098190683038e-12,5.262028365748938e-24
10286,9391,8344,7936,8682,9525,9538,1,-9.809347857824163e-13,4.684671648181951e-24
10306,9410,8347,7970,8700,9369,9310,1,-1.0053541288013975e-12,4.910367455080423e-24
10272,9415,8361,8017,8831,9805,9820,1,-9.25182936652834e-13,4.093613244224196e-24
10252,9363,8310,7933,8730,9312,9178,1,-1.00525334427006e-12,4.623813043735747e-24
10296,9418,8391,8043,8850,9502,9385,1,-9.658362790055463e-13,4.358370832764516e-24
10350,9485,8446,8127,8980,9640,9593,1,-9.186217316932664e-13,3.9707385715741655e-24
10276,9373,8318,7930,8676,9430,9336,1,-1.003697415790437e-12,4.782265780236973e-24
10314,9404,8354,7990,8795,9686,9572,1,-9.505089493321635e-13,4.185010999563624e-24
10301,9403,8342,7969,8694,9482,9403,1,-9.977067783777948e-13,4.8332439902946586e-24
10289,9416,8354,7977,8731,9480,9421,1,-9.863182032391793e-13,4.656443033810781e-24
10294,9427,8354,7980,8787,9671,9550,1,-9.547647314468385e-13,4.1664684976742724e-24
10274,9389,8349,7921,8676,9415,9422,1,-9.924730789530637e-13,4.73757005058895e-24
10323,9452,8428,8123,9087,9895,9692,1,-8.789253478019771e-13,3.370392748845496e-24
10253,9417,8368,8015,8845,9736,9558,1,-9.473174953979435e-13,4.041388695247648e-24
10287,9402,8366,8013,8897,9532,9445,1,-9.383585417729794e-13,3.9851545996287216e-24
10321,9445,8409,8100,9049,9923,9671,1,-8.871051730234055e-13,3.3920591158578984e-24
10299,9407,8392,8081,8955,9583,9316,1,-9.477829788313418e-13,3.9715574139774944e-24
10275,9382,8354,7981,8866,9547,9334,1,-9.529756713836283e-13,3.953596442106879e-24
10311,9420,8421,8087,8973,9621,9359,1,-9.38062227603142e-13,3.8701179041712525e-24
10679,9919,9198,9181,11995,13078,11378,1,-4.019598744736906e-13,6.480176311777504e-25
10804,10021,9123,8839,10795,11349,10502,1,-5.473709417519912e-13,1.125480146128186e-24
10792,10014,9185,9026,11345,11892,10637,1,-4.860221494704861e-13,8.881692947493213e-25
10666,9904,9135,8987,11593,12175,10482,1,-4.636563810029066e-13,7.837409192866381e-25
10681,9904,9098,8964,11433,11957,10460,1,-4.812596885341898e-13,8.547784535055602e-25
10683,9937,9201,9194,11850,12716,11118,1,-4.276948784350625e-13,7.198019460388699e-25
10769,9987,9105,8761,10910,11487,10543,1,-5.205872476929211e-13,1.0093730028963845e-24
10810,10000,9078,8745,10584,11537,10869,1,-5.489778871241792e-13,1.1544229291959057e-24
10704,9967,9190,9084,11496,12188,10775,1,-4.709237638599431e-13,8.37287958949657e-25
10666,9941,9229,9255,12120,12769,10829,1,-4.165384087605667e-13,6.649116003207616e-25
10681,9907,9165,9073,11811,12981,11200,1,-4.176494131354228e-13,6.652936687591348e-25
10678,9923,9166,9079,11905,13547,11744,1,-3.8956674251782124e-13,5.935824024345809e-25
10666,9936,9218,9161,11838,13317,11576,1,-4.0972329995941653e-13,6.488466049829235e-25
10832,9977,9045,8729,10457,11424,10889,1,-5.649513018909152e-13,1.2555960086622944e-24
10730,9928,9022,8726,10548,11576,10933,1,-5.53071123291738e-13,1.1905091672028617e-24
10621,9892,9133,9058,11768,12403,10737,1,-4.414772123448964e-13,7.443478767534344e-25
10605,9931,9270,9272,12060,12614,10700,1,-4.3192711842338065e-13,7.05515452088647e-25
10639,9849,9123,9068,11890,12720,10841,1,-4.241381187409834e-13,6.859294867017595e-25
10631,9875,9116,9060,11735,12946,11229,1,-4.254925041411987e-13,6.943022707866543e-25
10675,9950,9228,9263,12095,13011,11243,1,-4.040504694097576e-13,6.501515706476733e-25
10759,9917,8922,8534,10079,11140,10884,1,-6.074247740637731e-13,1.4858398186036564e-24
10655,9791,8845,8618,10947,11823,10195,1,-5.211790394030887e-13,9.131506037892318e-25
10599,9732,8759,8469,10100,11323,10330,1,-6.358210921559092e-13,1.4150621796828786e-24
10651,9912,9171,9115,11806,12836,11245,1,-4.2155589311190915e-13,7.00310939065049e-25
10627,9877,9122,9088,11857,12765,11068,1,-4.2124265957749234e-13,6.950045226060266e-25
10634,9768,8849,8620,10831,11659,10295,1,-5.341778271630957e-13,1.0018803995271623e-24
10585,9785,9022,8949,11575,12366,10726,1,-4.548386502849376e-13,7.881283914879121e-25
10610,9732,8858,8609,12516,12499,9888,1,-3.6031713079912773e-13,5.17322074405567e-25
10692,9914,9048,8828,10798,11671,10746,1,-5.387519973462841e-13,1.10095059141667e-24
10706,9917,8954,8634,10226,11020,10621,1,-6.130756617490183e-13,1.4952194894927157e-24
10626,9746,8819,8589,10442,11502,10191,1,-5.983392954187948e-13,1.2132152807849649e-24
10590,9733,8785,8511,10121,11292,10328,1,-6.38820312780563e-13,1.4494874997934336e-24
10672,9827,8872,8687,11022,12621,10782,1,-4.897937949671599e-13,7.936592141907505e-25
10559,9703,8782,8549,12068,12699,10299,1,-3.8239031279012025e-13,5.568789832477694e-25
10537,9661,8743,8534,10964,11957,10308,1,-5.08752793050596e-13,8.966405634485252e-25
10614,9834,9074,9024,11678,12402,10796,1,-4.462218180769077e-13,7.704505573665131e-25
10576,9833,9106,9081,11725,12204,10621,1,-4.554513001948685e-13,8.07050482227463e-25
10679,9832,8888,8651,10727,11796,10659,1,-5.326607956262908e-13,1.0253603976140395e-24
10630,9907,9186,9206,12007,12844,11120,1,-4.141907135211713e-13,6.818840852793641e-25
10614,9861,9115,9057,11748,12748,11189,1,-4.259970236509434e-13,7.197000797102691e-25
10667,9833,8896,8726,11274,12220,10275,1,-4.848107043125631e-13,7.8136736925106225e-25
10649,9810,8841,8631,10673,11662,10206,1,-5.637652643877222e-13,1.0595884473021232e-24
