B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10096,9193,8204,7765,8995,8838,8182,1,63359980,-599951461440544732,-761278115384.0607,1.0,-2896683296230.0566,-5.7097273722425967e-11,8204,741043680799.1809
10030,9196,8252,7877,9804,9524,8718,1,72741673,-1385933303874880132,-760973526767.4756,1.0,-3299765470966.6416,5.6103049721360665e-11,8252,905688275501.5609
10098,9214,8202,7761,8870,8664,8374,1,66437863,-440196214826655990,-762982083865.979,1.0,-2823099730541.68,-3.5969816773174524e-11,8202,765781965575.684
10138,9240,8198,7745,8640,8635,8334,1,65687093,-406450530061321402,-767791725714.7561,1.0,-2742885285126.939,-3.423310784942008e-11,8198,742104572692.1104
10099,9175,8132,7654,8398,8433,8122,1,62091169,-261304159446554968,-753343122131.5548,1.0,-2606775910072.4146,-2.935395530221324e-11,8132,687991135958.112
10069,9139,8114,7702,8906,9015,8493,1,68638989,-892623875539004386,-746501203511.9326,1.0,-2836135886223.107,-1.6427899004088705e-10,8114,797179783508.1571
10177,9265,8204,7753,8537,8550,8374,1,66354064,-322351275199692786,-773396742457.5486,1.0,-2707717259416.0957,-2.9042813391499753e-11,8204,742617736083.121
10146,9222,8168,7680,8405,8197,8023,1,60459786,-23856118344138844,-764094610255.5917,1.0,-2612443527080.778,-2.0692275411061864e-11,8168,672032739402.7632
10073,9184,8100,7643,8477,8160,7964,1,59792171,-51032480847899228,-749179987144.8307,1.0,-2609618477627.998,-2.065220953496908e-11,8100,668618672471.113
10072,9160,8058,7548,8318,7959,7629,1,54316868,82019432645915418,-743274189134.3771,1.0,-2512738564896.5015,-1.861444307891788e-11,8058,605121522507.86
10169,9255,8185,7749,8481,8505,8323,1,65650318,-294995181067734215,-770166528085.8478,1.0,-2686694922831.916,-2.799122864907294e-11,8185,729905130073.3147
