X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
66,56,56,71,79,50,1,3479,0.8987341772151899,-934.0,-72.73831155421085,0.012365029606408917,73.57671072160885,-78.55725452436371
67,55,55,72,73,43,1,3024,0.9863013698630136,-1084.0,-71.54634256272026,0.014521984671238403,66.61711573235772,-72.53755372184975
67,59,56,71,76,48,1,3337,0.9342105263157895,-946.0,-75.87498512415219,0.013082734475769301,70.33865969400367,-75.53150798576566
68,56,55,72,70,42,1,2952,1.0285714285714285,-1100.0,-70.07101855213054,0.015570934256055362,63.42314396022157,-69.5325001490752
68,56,56,71,78,48,1,3337,0.9102564102564102,-964.0,-65.20904601020533,0.012283737024221454,72.38178959569711,-77.54946531769988
68,57,55,72,73,44,1,3096,0.9863013698630136,-1099.0,-72.35348532753805,0.014308426073131956,66.73515179709753,-72.52646350504835
68,57,55,73,74,44,1,3139,0.9864864864864865,-1167.0,-76.17967896465079,0.01431372549019608,67.64879450169705,-73.52350226433776
68,57,57,70,74,46,1,3150,0.9459459459459459,-827.0,-62.74725633885827,0.013197586726998492,68.22641431383569,-73.54945949087528
68,57,57,71,76,46,1,3195,0.9342105263157895,-895.0,-66.32899034158646,0.01289034132171387,70.16570545683412,-75.54381357087107
68,60,65,74,91,61,1,4440,0.8131868131868132,-552.0,-75.30572176425848,0.010076252723311547,86.45413998569808,-90.6049300742831
69,56,57,50,54,48,1,2350,0.9259259259259259,539.0,-2.2432381691771894,0.01249375312343828,50.0205383802186,-53.63530158197482
69,56,57,50,56,46,1,2250,0.8928571428571429,539.0,-2.247253560471833,0.01168770453482936,51.9272033366026,-55.61548891072606
69,56,59,51,60,47,1,2346,0.85,608.0,-3.731032264848423,0.010712035286704474,56.00613464893137,-59.617785251496116
69,60,61,82,81,51,1,4100,1.0123456790123457,-1389.0,-108.86571905090301,0.014855072463768116,74.74950818663847,-80.56030728926966
69,60,62,82,80,50,1,4018,1.025,-1320.0,-107.39643164837948,0.015235971757710888,73.64927427066338,-79.56443461324503
70,56,58,51,57,47,1,2346,0.8947368421052632,546.0,-2.238458420446406,0.011564625850340135,52.92929164604012,-56.62304322080078
70,57,56,72,76,46,1,3240,0.9473684210526315,-1063.0,-63.76216397053499,0.012857142857142857,70.04258041234253,-75.53649044825488
70,57,57,71,78,49,1,3408,0.9102564102564102,-923.0,-59.22561637558487,0.011932773109243698,72.4936386464316,-77.55411202072271
70,57,59,51,59,47,1,2346,0.864406779661017,617.0,-2.592864621917414,0.010874200426439232,54.985368829982974,-58.614460554308145
70,57,60,52,62,50,1,2548,0.8387096774193549,617.0,-4.443090857925625,0.010317460317460317,58.1546398689839,-61.62626451854627
