X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
66,56,56,71,79,50,1,331174948978.37354,-998.8237846534531,9623.0,118.54929577464789,-1158.3636820925553,1.0903802281368822,79.0,150.0,0.007950725432283022,-1019.5712346839318
67,55,55,72,73,43,1,317447358754.36926,-1120.3678556877699,8889.0,118.52777777777777,-1312.8393939393943,1.4110091585106979,73.0,145.0,0.0117185223107368,-1138.2598260980149
67,59,56,71,76,48,1,261611685575.2657,-832.8192447773322,9336.0,120.40845070422536,-932.6796371449032,1.2155948919673905,76.0,147.0,0.00922789851986716,-848.7907410727275
68,56,55,72,70,42,1,299411792352.66046,-1061.0085547480041,8594.0,120.375,-1237.0000000000002,1.5500134084204882,70.0,142.0,0.013613414710682094,-1075.5740259740262
68,56,56,71,78,48,1,360141082939.77167,-976.9760611440624,9657.0,122.33802816901408,-1158.255533199195,1.2207961007311128,78.0,149.0,0.008670262046566318,-997.0884797560778
68,57,55,72,73,44,1,299789756124.8908,-1008.0659631919339,8964.0,120.38888888888889,-1164.7923976608186,1.420410361717527,73.0,145.0,0.011772163132590366,-1023.9760649208404
68,57,55,73,74,44,1,316947870693.57965,-1087.2560894306353,9086.0,119.5068493150685,-1254.4722422494594,1.4014646373629975,74.0,147.0,0.01178000472819285,-1104.159230617867
68,57,57,70,74,46,1,293713630837.0657,-853.3191116969055,9237.0,124.27142857142857,-994.5969924812032,1.3412565264428729,74.0,144.0,0.009643153428793561,-869.5020693844112
68,57,57,71,76,46,1,313825536530.6033,-927.8881606347275,9486.0,123.35211267605634,-1080.3021991598719,1.3065934964790564,76.0,147.0,0.009291528089829346,-945.7442853776366
68,60,65,74,91,61,1,504359721861.3224,-997.6937757644192,12089.0,128.77027027027026,-1138.9612612612611,0.8256251778163659,91.0,165.0,0.0044131627255799425,-1022.9561113485638
69,56,57,50,54,48,1,93002176046.55627,192.25388456365482,6810.0,153.48000000000002,240.51999999999998,1.8058412002697235,54.0,104.0,0.008983995875360884,194.06340447893916
69,56,57,50,56,46,1,91404669054.92072,194.10591696632872,7062.0,153.56,243.28999999999996,1.8192090395480225,56.0,106.0,0.008214369829422943,194.0525226108749
69,56,59,51,60,47,1,107422353306.72931,160.61427144461217,7685.0,153.76470588235293,195.3053221288515,1.6647144180842322,60.0,111.0,0.0066634976005914654,157.16068276859275
69,60,61,82,81,51,1,521148090296.5963,-1708.3011479641727,10508.0,120.17073170731707,-1907.9475609756098,1.1382791261920997,81.0,163.0,0.010316741936272546,-1729.6491364830927
69,60,62,82,80,50,1,509617682106.1815,-1709.061465809821,10458.0,121.1829268292683,-1906.3211382113823,1.1751928417155197,80.0,162.0,0.01053372929381767,-1729.6579936192838
70,56,58,51,57,47,1,109375216971.86072,154.98243161248516,7301.0,155.41176470588235,193.54446778711457,1.8007736943907158,57.0,108.0,0.00808855548070998,154.0374268675808
70,57,56,72,76,46,1,374386618500.74255,-983.8027036901715,9561.0,125.25,-1170.9020467836258,1.3843454469755547,76.0,148.0,0.010249412925865769,-1001.908498355864
70,57,57,71,78,49,1,395156917776.72,-906.0301882834281,9892.0,127.22535211267606,-1088.1823573017055,1.2672623883021934,78.0,149.0,0.008604717075162525,-925.2267519447972
70,57,59,51,59,47,1,104951682662.56528,200.58320185719447,7617.0,156.47058823529412,248.2476780185757,1.7415243006192622,59.0,110.0,0.0071065508612641465,198.80034574468084
70,57,60,52,62,50,1,126690187054.21092,165.20498101121012,8065.0,155.6153846153846,196.4824561403511,1.5595482546201234,62.0,114.0,0.006158896136305224,160.96743434343435
70,58,59,66,68,50,1,268541890981.63406,-511.04733414331884,8764.0,134.4090909090909,-611.3322884012534,1.4208955223880597,68.0,134.0,0.009788567045210677,-520.8153324641459
70,58,59,67,68,49,1,275798944122.96356,-577.5360412444097,8763.0,133.2985074626866,-686.5174987133299,1.4495843103815818,68.0,135.0,0.010332136893250306,-587.4575941339849
70,58,63,66,80,60,1,403979348754.71564,-502.5989869228998,10632.0,138.5,-626.5987460815045,1.010413444685019,80.0,146.0,0.005009283420314995,-520.7929057759563
70,58,63,67,80,59,1,412880299530.95825,-568.9600351920152,10631.0,137.38805970149252,-701.9292331446214,1.0273802066816404,80.0,147.0,0.005282326617211064,-587.4308137042988
70,59,58,68,70,50,1,279294143132.6959,-593.0819981397184,8951.0,131.20588235294116,-695.0373878364903,1.3808373590982286,70.0,138.0,0.010074971434724382,-603.8345488935622
