X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
66,56,56,71,79,50,1,56,66,-2.8230303030303032,695.4410259740259
67,55,55,72,73,43,1,55,67,-3.329746615758417,724.5233754527427
67,59,56,71,76,48,1,56,67,-2.9409203980099505,689.1963210571585
68,56,55,72,70,42,1,55,68,-3.409313725490196,708.2415655969376
68,56,56,71,78,48,1,56,68,-2.9411764705882355,712.7306277056277
68,57,55,72,73,44,1,55,68,-3.2543449197860963,713.7888931523022
68,57,55,73,74,44,1,55,68,-3.2997994652406417,729.0026918536009
68,57,57,70,74,46,1,57,68,-3.0252557544757033,690.6482107916293
68,57,57,71,76,46,1,57,68,-3.0687340153452682,715.6386263390045
68,60,65,74,91,61,1,65,68,-2.4105593056894894,712.604841964298
69,56,57,50,54,48,1,57,69,-2.066123188405797,434.2412392187107
69,56,57,50,56,46,1,57,69,-2.155954631379962,463.71775216994075
69,56,59,51,60,47,1,59,69,-2.152019734813444,492.23685840126933
69,60,61,82,81,51,1,61,69,-3.1983518044899117,754.714780709644
69,60,62,82,80,50,1,62,69,-3.2620289855072464,755.0542087867511
70,56,58,51,57,47,1,58,70,-2.15258358662614,470.25289762270575
70,57,56,72,76,46,1,56,70,-3.1130434782608694,726.0954590045578
70,57,57,71,78,49,1,57,70,-2.88134110787172,706.2757348911637
70,57,59,51,59,47,1,59,70,-2.152279635258359,487.1030039449007
70,57,60,52,62,50,1,60,70,-2.0628571428571427,489.6248095238095
70,58,59,66,68,50,1,59,70,-2.6231428571428568,583.0741721767793
70,58,59,67,68,49,1,59,70,-2.7174927113702623,595.7301121676696
70,58,63,66,80,60,1,63,70,-2.185,602.5717600880508
70,58,63,67,80,59,1,63,70,-2.2559322033898304,613.6836371038269
70,59,58,68,70,50,1,58,70,-2.7034285714285717,607.6004362622493
70,59,58,69,70,50,1,58,70,-2.7434285714285718,611.3098544425766
70,59,59,67,69,51,1,59,70,-2.6109243697478988,586.4816834149344
70,59,60,71,70,43,1,60,70,-3.282392026578073,701.5763058731136
70,59,61,63,74,46,1,61,70,-2.720186335403727,673.2471495752538
70,59,62,63,74,46,1,62,70,-2.7198757763975157,675.0113348293505
70,59,62,63,74,47,1,62,70,-2.6620060790273556,661.8664292574548
70,59,62,63,75,46,1,62,70,-2.7198757763975157,684.9458982702695
70,59,62,68,78,58,1,62,70,-2.329556650246305,609.265358493741
70,59,63,67,78,59,1,63,70,-2.2559322033898304,597.7824533836028
70,60,58,86,77,50,1,58,70,-3.4234285714285715,746.8511073419456
70,60,60,82,78,49,1,60,70,-3.3294460641399417,749.8153933036376
70,60,60,82,80,50,1,60,70,-3.262857142857143,759.4350282485875
70,60,61,67,73,48,1,61,70,-2.773511904761905,653.4989285332782
70,60,62,68,76,57,1,62,70,-2.370426065162907,600.4190335566012
70,60,64,73,84,55,1,64,70,-2.637922077922078,706.0090417950693
70,61,61,86,79,51,1,61,70,-3.3554621848739496,752.9393738852018
71,57,59,52,60,50,1,59,71,-2.063380281690141,476.0596311404769
71,57,60,51,61,50,1,60,71,-2.023098591549296,481.6793839285714
71,58,58,49,58,49,1,58,71,-1.9833285426846796,458.4589900406994
71,58,59,51,57,46,1,59,71,-2.1993263931414573,483.0045670556176
71,58,61,63,74,48,1,61,71,-2.607100938967136,651.1915862175285
71,58,63,57,67,51,1,63,71,-2.2178956089478046,542.2329881843805
71,58,63,64,75,49,1,63,71,-2.594136246047715,655.139163100495
71,59,57,71,68,41,1,57,71,-3.443833734111989,708.4541203869412
71,59,58,69,68,43,1,58,71,-3.1903046184081236,673.2640378996808
71,59,59,67,69,52,1,59,71,-2.5609425785482123,580.7000638057262
71,59,62,62,75,48,1,62,71,-2.5651408450704225,658.2446062754913
71,59,62,63,74,47,1,62,71,-2.6622715013485165,664.9433871569568
71,59,63,56,68,53,1,63,71,-2.0964655859686423,529.841676220475
71,59,64,73,88,56,1,64,71,-2.591046277665996,736.0518285978184
71,60,63,57,70,54,1,63,71,-2.094679186228482,540.2106089139987
71,60,63,63,70,46,1,63,71,-2.7198407838334355,641.1435444768405
71,60,63,64,72,47,1,63,71,-2.7045250224752775,651.0299646786307
71,60,63,66,81,59,1,63,71,-2.222248746717594,620.072252284999
71,60,64,73,86,55,1,64,71,-2.638156209987196,727.4661079764323
71,60,65,74,90,56,1,65,71,-2.6265090543259553,758.8073918828891
71,61,59,87,79,49,1,59,71,-3.5340615119287153,785.2040689380478
71,61,62,85,79,49,1,62,71,-3.4515665421098016,774.4124984397761
72,56,58,50,57,48,1,58,72,-2.066550925925926,464.3016489771376
72,57,59,52,61,51,1,59,72,-2.0231481481481484,478.3324402080596
72,59,60,70,70,42,1,60,72,-3.313492063492064,720.0904488232075
72,59,61,59,65,43,1,61,72,-2.724483204134367,617.8823485070882
72,59,62,58,68,55,1,62,72,-2.0934343434343434,522.8022428427688
72,59,62,60,69,51,1,62,72,-2.3360566448801743,569.4299850846912
72,59,63,57,69,52,1,63,72,-2.175480769230769,551.7321268080789
72,60,62,56,62,42,1,62,72,-2.646164021164021,595.902840232138
72,60,62,57,65,42,1,62,72,-2.693783068783069,628.469882530812
72,60,63,57,66,53,1,63,72,-2.134433962264151,520.6179243743766
72,60,63,67,78,52,1,63,72,-2.5600961538461537,663.3981831324447
72,60,63,68,76,50,1,63,72,-2.7025,670.5079163585585
72,60,63,69,76,50,1,63,72,-2.7425,674.2146563050078
72,60,64,58,68,53,1,64,72,-2.1719077568134173,540.1586386599369
72,61,63,87,81,56,1,63,72,-3.091517857142857,730.9012117346939
72,62,62,58,65,42,1,62,72,-2.7414021164021163,631.5845669485846
72,62,62,62,64,50,1,62,72,-2.4627777777777777,544.0559213114755
72,62,62,87,81,54,1,62,72,-3.206275720164609,750.9518773135908
73,59,60,69,75,49,1,60,73,-2.7995526977914453,676.7928283294317
73,59,61,58,67,45,1,61,73,-2.559208523592085,610.5386750541637
73,59,62,57,70,56,1,62,73,-2.0205479452054793,529.2776154893046
73,59,63,56,68,54,1,63,73,-2.0580923389142565,527.0012163230555
73,59,63,57,67,53,1,63,73,-2.134660118893771,530.617393260716
73,60,58,54,48,32,1,58,73,-3.350171232876712,597.027255814305
73,60,62,61,65,51,1,62,73,-2.375503626107977,543.0357203877543
73,61,63,58,66,54,1,63,73,-2.132166412988331,518.6945578231292
73,61,63,85,82,51,1,63,73,-3.3164114961052915,787.7345318664866
73,61,65,63,74,48,1,65,73,-2.6064497716894977,663.8213462771203
73,61,65,64,77,50,1,65,73,-2.5421917808219177,670.6879132149902
73,62,65,58,80,62,1,65,73,-1.8566062748563852,564.8250423011161
73,63,66,89,79,54,1,66,73,-3.2795535261288684,737.6047565642303
73,65,62,59,66,46,1,62,73,-2.5467540202501486,594.4943495767837
74,60,61,59,66,41,1,61,74,-2.8579433091628212,664.4576322210021
74,61,62,68,81,56,1,62,74,-2.4136100386100385,660.5346961339167
74,61,64,58,85,62,1,64,74,-1.8570183086312118,603.3429606289158
74,61,65,57,81,62,1,65,74,-1.8245422842197034,570.5035231914487
74,62,58,53,46,32,1,58,74,-3.288006756756757,574.264035423286
74,62,60,59,61,41,1,60,74,-2.858272907053395,609.8816276687157
74,62,62,87,81,55,1,62,74,-3.1484029484029485,746.7774971483013
74,63,60,58,62,43,1,60,74,-2.678818353236958,589.4481719848566
74,63,61,57,57,39,1,61,74,-2.901940401940402,596.1592700245988
74,64,66,87,82,55,1,66,74,-3.147420147420148,752.3312484148848
75,61,64,58,86,61,1,64,75,-1.8876502732240439,620.8571839674735
75,62,62,58,65,43,1,62,75,-2.6784496124031008,626.7349509889863
75,63,61,57,64,42,1,61,75,-2.694920634920635,625.1523959868441
75,65,63,58,69,45,1,63,75,-2.559111111111111,640.2971541950113
75,65,66,90,86,58,1,66,75,-3.0882758620689654,776.9542911822801
76,63,59,57,57,37,1,59,76,-3.060099573257468,628.7346639287107
76,65,67,88,86,57,1,67,76,-3.072253000923361,780.2748172047524
76,66,68,89,87,58,1,68,76,-3.0535390199637025,783.1995229594413
79,68,59,54,52,37,1,59,79,-2.8987341772151898,576.4539961652085
65,59,57,84,70,41,2,57,65,-4.076172607879925,760.240104780803
66,55,51,76,56,29,2,51,66,-5.21473354231975,785.6324928264308
66,55,51,78,58,33,2,51,66,-4.703856749311296,724.9133807757064
66,56,51,76,58,33,2,51,66,-4.582644628099175,717.8999539274469
66,56,51,79,57,32,2,51,66,-4.913352272727273,735.556002219153
66,56,51,83,58,32,2,51,66,-5.163352272727273,763.6034142790361
66,56,52,85,58,33,2,52,66,-5.127640036730946,750.6208344879673
66,57,53,81,70,40,2,53,66,-4.029924242424242,768.0604841580634
66,57,53,81,71,39,2,53,66,-4.133255633255633,797.3466848514497
66,57,53,81,72,41,2,53,66,-3.9316334072431633,777.4279727325725
66,57,53,81,73,39,2,53,66,-4.133255633255633,823.5460129329765
66,58,55,87,66,38,2,55,66,-4.55701754385965,773.5377285318559
66,59,54,87,65,38,2,54,66,-4.557416267942584,760.1836362755491
66,59,56,84,72,43,2,56,66,-3.8872445384073293,758.0413697192198
67,55,49,83,57,30,2,49,67,-5.508955223880597,796.5466851774725
67,55,50,87,59,31,2,50,67,-5.588830043331728,818.7278215978724
67,55,51,78,53,29,2,51,67,-5.353062274832733,750.0411792185988
67,55,51,89,60,32,2,51,67,-5.538712686567164,818.6211638352236
67,55,52,83,61,33,2,52,67,-5.006784260515603,790.3344567809165
67,56,51,83,58,32,2,51,67,-5.163712686567164,767.4920861540361
67,56,52,74,54,30,2,52,67,-4.907462686567164,730.0160731576116
67,56,52,79,58,33,2,52,67,-4.764360018091361,733.9761466195032
67,56,54,82,59,31,2,54,67,-5.264323543572461,811.616904674499
67,58,55,87,63,37,2,55,67,-4.6805163372327545,755.591042658049
67,59,54,86,68,39,2,54,67,-4.389590508993495,781.8050080202552
67,59,54,87,65,37,2,54,67,-4.680919725695846,781.192473629786
67,59,56,80,65,41,2,56,67,-3.8820531488896983,692.9268899184117
68,55,52,85,62,35,2,52,68,-4.835294117647059,773.4352087777911
68,56,50,86,61,33,2,50,68,-5.189839572192513,802.452118567493
68,56,51,71,48,29,2,51,68,-4.870689655172414,659.7299128982221
68,56,51,71,49,28,2,51,68,-5.044642857142857,699.1256793715704
68,56,51,77,55,32,2,51,68,-4.7890625,708.6580458087034
68,56,51,77,59,32,2,51,68,-4.7890625,764.8097452752547
68,56,52,72,48,29,2,52,68,-4.939148073022313,666.4103429726772
68,56,54,82,61,34,2,54,68,-4.800173010380623,772.4365179843202
68,56,54,86,59,33,2,54,68,-5.188057040998217,779.754941105783
68,57,51,71,49,29,2,51,68,-4.870689655172414,673.8058697354579
68,57,52,83,59,33,2,52,68,-5.007130124777184,765.4054707372561
68,57,52,83,61,32,2,52,68,-5.163602941176471,817.9583850644547
68,57,53,76,56,32,2,53,68,-4.725643382352941,724.5045056069777
