X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
66,56,56,71,79,50,1,0.01131537598204265,0.014925373134328358,3298.7330211421763,-902.5301453170555,-902.1566727047284
67,55,55,72,73,43,1,0.014057618882332524,0.014705882352941176,2879.6919420843046,-885.0547257700977,-884.7011319548327
67,59,56,71,76,48,1,0.011610926847245254,0.013958125623130608,3214.7974392834585,-906.9807592528535,-898.9685142413878
68,56,55,72,70,42,1,0.014405762304921969,0.014233954451345756,2854.71543264942,-878.9112396694215,-876.0743377436652
68,56,56,71,78,48,1,0.01152555238513316,0.014492753623188406,3262.7330243337196,-914.4600947521866,-914.0911902111258
68,57,55,72,73,44,1,0.013327848621966268,0.01398423595219934,2990.737791750675,-904.7094736842104,-899.2351987451191
68,57,55,73,74,44,1,0.013596052577866677,0.01398423595219934,2990.720210441117,-915.8001275917065,-910.2797220047187
68,57,57,70,74,46,1,0.011957985982311941,0.014492753623188406,3126.7729517538305,-874.1401672849406,-873.8068962974314
68,57,57,71,76,46,1,0.012117089398688538,0.014492753623188406,3126.7553134661766,-891.4905476988871,-891.1378411474752
68,60,65,74,91,61,1,0.008742743650494612,0.01570048309178744,4146.767469918109,-906.8694319526628,-918.7309726045153
69,56,57,50,54,48,1,0.006862099253403601,0.014540816326530611,3311.102564102564,-679.3359715077166,-681.4076096643928
69,56,57,50,56,46,1,0.007032586191376361,0.014540816326530611,3173.0938511326863,-691.196467044805,-693.2539698419054
69,56,59,51,60,47,1,0.006914096143417653,0.015051020408163265,3242.1027332704994,-696.7316093487093,-703.12402906111
69,60,61,82,81,51,1,0.013551561029386571,0.014523809523809524,3517.634300703668,-935.9985219027143,-938.1080067314077
69,60,62,82,80,50,1,0.013921325051759834,0.014761904761904763,3448.6343870470314,-915.3064082552897,-919.7735572293209
70,56,58,51,57,47,1,0.006996261129192781,0.014587525150905433,3289.075428941405,-697.8303836843894,-702.0760586189252
70,57,56,72,76,46,1,0.01210479615187036,0.013837410427477144,3218.7377356749607,-929.1052855352667,-926.1434243008288
70,57,57,71,78,49,1,0.010886513335492927,0.014084507042253521,3428.7552798851752,-923.4169812033933,-923.0650759593121
70,57,59,51,59,47,1,0.006815323341368829,0.014578700271806275,,-703.2914770407777,-707.5097240254626
70,57,60,52,62,50,1,0.006492196878751501,0.014825796886582653,3499.094685400122,-713.56783625731,-720.0111409745834
70,58,59,66,68,50,1,0.009877551020408165,0.014327343370568237,3498.8639451295917,-815.7624344966271,-817.8722262515885
70,58,59,67,68,49,1,0.010386875838770883,0.014327343370568237,3428.8466941467436,-819.4410841117792,-821.5425222508525
70,58,63,66,80,60,1,0.007515527950310559,0.0152986886838271,4198.863261598658,-841.1037610446477,-852.7480086641633
70,58,63,67,80,59,1,0.007876267677299365,0.0152986886838271,4128.846018131954,-844.8663174081894,-856.5017809537236
70,59,58,68,70,50,1,0.01024141749723145,0.013845786583910242,3498.8488355411027,-854.0336967693827,-851.3640786206377
70,59,58,69,70,50,1,0.01054485049833887,0.013845786583910242,3498.831906652001,-857.8612829762792,-855.1915798858143
70,59,59,67,69,51,1,0.009823616946778713,0.014084507042253521,3568.866068099022,-830.5756528174741,-830.3437713548032
70,59,60,71,70,43,1,0.012982564578021582,0.014323227500596801,3008.798094855536,-838.9716572504708,-841.014262551174
70,59,61,63,74,46,1,0.009267734553775744,0.01456194795894008,3218.9332877105453,-822.2157293237192,-826.631501554626
70,59,62,63,74,46,1,0.009267734553775744,0.014800668417283362,3218.9333779712088,-810.2611157163267,-816.9285403575274
70,59,62,63,74,47,1,0.009070548712206047,0.014800668417283362,3288.9334034768885,-810.2604807844936,-816.9328615851123
70,59,62,63,75,46,1,0.009198572355613239,0.014800668417283362,3218.9332877105453,-816.3254290199122,-823.0325303736738
70,59,62,68,78,58,1,0.008313257344216318,0.014800668417283362,4058.8486565986295,-853.3815058466639,-860.282964709895
70,59,63,67,78,59,1,0.007933758682243157,0.015039388875626641,4128.8656884875845,-837.4071554547745,-846.5573379233706
70,60,58,86,77,50,1,0.015424400417101147,0.013615023474178404,3498.5677136596055,-978.4463436385254,-973.0455835163748
70,60,60,82,78,49,1,0.014205433726285546,0.014084507042253521,3428.6343659886816,-939.166425925926,-938.8314435767126
70,60,60,82,80,50,1,0.013722448979591838,0.014084507042253521,3498.6342817487857,-952.9652777777778,-952.6164464089056
70,60,61,67,73,48,1,0.010045202291442894,0.01431924882629108,3358.8845726970035,-835.5102391830154,-837.5684387137649
70,60,62,68,76,57,1,0.008521303258145362,0.01455399061032864,3988.8679469647423,-845.6413371488034,-850.1050724030212
70,60,64,73,84,55,1,0.009612193362193362,0.015023474178403756,3848.7842620220663,-889.4655354817708,-898.7549162342045
70,61,61,86,79,51,1,0.014797919167667066,0.014084507042253521,3568.5912366289217,-952.0812755252641,-951.7529993554822
71,57,59,52,60,50,1,0.006510172143974961,0.014376218323586744,3549.101545923007,-720.6449548173795,-724.9511658838424
71,57,60,51,61,50,1,0.006209119121508714,0.014619883040935672,3549.118823886026,-712.3678362573099,-718.8238480481797
71,58,58,49,58,49,1,0.005949490043710539,0.013888888888888888,,-713.8469135675919,-713.7237817035912
71,58,59,51,57,46,1,0.006925104502249794,0.014128352490421455,3265.1146363364264,-703.9538876066132,-705.9824638077584
71,58,61,63,74,48,1,0.008822823303457107,0.01460727969348659,3406.914984010964,-825.9841440472992,-832.822347987101
71,58,63,57,67,51,1,0.007178127589063795,0.015086206896551725,3620.0209520989115,-740.3027601845337,-751.0617638737333
71,58,63,64,75,49,1,0.008852254234321072,0.015086206896551725,3477.8978895019422,-811.9689229459344,-823.2694376575312
71,59,57,71,68,41,1,0.013635490685615518,0.013418079096045197,2909.7978973181675,-875.1457084578827,-869.9715280196008
71,59,58,69,68,43,1,0.01227913166602619,0.013653483992467044,3051.8319513384786,-853.6422993208247,-850.9644076898076
71,59,59,67,69,52,1,0.00949900121885157,0.013888888888888888,3690.866100625323,-839.4052313040768,-839.1836756303867
71,59,62,62,75,48,1,0.008417419942540817,0.014595103578154425,3406.9502659985433,-821.0336161131589,-827.8010066006061
71,59,62,63,74,47,1,0.008942794504991877,0.014595103578154425,3335.9334034768885,-818.6634993562498,-825.3861868061812
71,59,63,56,68,53,1,0.006562028537291196,0.014830508474576272,3762.0537289494787,-747.079651195067,-755.7185283087231
71,59,64,73,88,56,1,0.009117630955802845,0.015065913370998116,3974.7635406698564,-918.2287804555085,-930.2846049909547
