X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
66,56,56,71,79,50,1,-0.7420328748742033,-167.95454545454547,159271.68659589769,4424.0,-0.8570321580782642,-0.7441775113544263,-56490320259.8481,56.0,-2.523540567666909e-08
67,55,55,72,73,43,1,-0.7912889239258968,-222.52238805970148,132383.57965588197,4015.0,-0.9591495461060677,-0.7952187254270157,-42555787027.53425,55.0,-3.436591270761751e-08
67,59,56,71,76,48,1,-0.7617683909074638,-182.01492537313433,153132.21089024202,4256.0,-0.8978902953586498,-0.7645153679514404,-56942321214.6336,56.0,-2.840337032160543e-08
68,56,55,72,70,42,1,-0.813953488372093,-238.50000000000003,129400.62023785329,3850.0,-1.0112949829261886,-0.818518912226509,-43361309192.359184,55.0,-3.826498221895849e-08
68,56,56,71,78,48,1,-0.7321488434461951,-197.2058823529412,152999.55731376825,4368.0,-0.8704663212435234,-0.7347568819140726,-53380259416.97436,56.0,-2.6965363448579954e-08
68,57,55,72,73,44,1,-0.7797630607885027,-239.24999999999997,135492.7782991901,4015.0,-0.9589204681155958,-0.7835382915524687,-47322344512.46647,55.0,-3.3584918466427745e-08
68,57,55,73,74,44,1,-0.7799923342276734,-253.58823529411765,135459.94561785719,4070.0,-0.9592269620551497,-0.7837429132944048,-47735420925.61594,55.0,-3.2427892986344724e-08
68,57,57,70,74,46,1,-0.775082690187431,-157.14705882352942,152097.61039764847,4218.0,-0.9135802469135803,-0.77836816881686,-51423054014.67567,57.0,-3.126223777779985e-08
68,57,57,71,76,46,1,-0.7651006711409396,-169.6470588235294,152060.29459567467,4332.0,-0.8996884735202492,-0.7682613866343966,-51224172597.63158,57.0,-2.9406774688797416e-08
68,60,65,74,91,61,1,-0.7521617497456764,-39.044117647058826,261148.95156777918,5915.0,-0.779520295202952,-0.7529615263654471,-108864263611.92308,65.0,-1.4242933156768468e-08
69,56,57,50,54,48,1,-0.7583148558758316,89.47826086956522,159589.5016437086,3078.0,-0.9055604589585172,-0.7618893875310755,-46250937849.84259,57.0,-6.678656151132712e-08
69,56,57,50,56,46,1,-0.7397450753186559,89.68115942028986,153091.3266925411,3192.0,-0.8790966675846873,-0.743350287386387,-40127944903.71428,57.0,-6.48003051780604e-08
69,56,59,51,60,47,1,-0.738115095913261,86.95652173913044,167427.57172492027,3540.0,-0.8456760630673674,-0.7412735118993428,-42140899377.4875,59.0,-5.373869496000091e-08
69,60,61,82,81,51,1,-0.8779317697228145,-192.65217391304347,192491.74519649733,4941.0,-0.993765084473049,-0.8810217846344678,-88604026785.35802,61.0,-2.0900537935201534e-08
69,60,62,82,80,50,1,-0.9052746851615259,-163.18840579710147,195010.6270001965,4960.0,-1.009771986970684,-0.9087433086923273,-86928371468.89,62.0,-2.170310590435709e-08
70,56,58,51,57,47,1,-0.7430883344571814,89.7,161800.23522826226,3306.0,-0.8808952837729817,-0.7466052399802557,-44217649345.0,58.0,-6.009202581935946e-08
70,57,56,72,76,46,1,-0.7414634146341463,-241.3714285714286,146736.67643109467,4256.0,-0.912912912912913,-0.7446882967554866,-52974350861.44045,56.0,-2.9406857621854043e-08
70,57,57,71,78,49,1,-0.7258775510204082,-197.6,161807.48739745692,4446.0,-0.8721067085131423,-0.7284839519119134,-59823462438.46154,57.0,-2.620873130751556e-08
70,57,59,51,59,47,1,-0.7376562831108285,94.74285714285715,167495.88262649777,3481.0,-0.8576003941857602,-0.7409716224927932,-44255499188.1686,59.0,-5.5576288441720734e-08
70,57,60,52,62,50,1,-0.7322834645669292,87.08571428571429,183944.57379264268,3720.0,-0.8359550561797752,-0.7350118550299197,-51455975687.14432,60.0,-4.646256120925543e-08
70,58,59,66,68,50,1,-0.7998405103668261,-83.8,177107.41610114876,4012.0,-0.9424477331454075,-0.8030011036833287,-67610317883.29413,59.0,-3.4606501559579535e-08
70,58,59,67,68,49,1,-0.8109965635738832,-95.77142857142857,173580.69114900977,4012.0,-0.9579751671442215,-0.8144066813594709,-65890509918.205894,59.0,-3.503246594295518e-08
70,58,63,66,80,60,1,-0.7357664233576642,-24.42857142857143,241626.38144116834,5040.0,-0.802164571064778,-0.7368882762077825,-96163365109.74829,63.0,-2.0189130091474044e-08
70,58,63,67,80,59,1,-0.7445708376421923,-32.57142857142858,237605.27110492988,5040.0,-0.8126410835214446,-0.7458458416134625,-94356202055.93147,63.0,-2.0373372955796758e-08
70,59,58,68,70,50,1,-0.7868217054263567,-130.0,171117.15672308655,4060.0,-0.9424326833797586,-0.7898832684824902,-68876759524.40001,58.0,-3.239778951535541e-08
70,59,58,69,70,50,1,-0.7976424361493124,-143.0,171074.855752198,4060.0,-0.9579990561585653,-0.8007889546351085,-70468060064.67627,58.0,-3.214265848183129e-08
70,59,59,67,69,51,1,-0.7999606995480448,-95.88571428571429,180594.78214070233,4071.0,-0.9425793007640658,-0.8029404803498372,-72859160302.27536,59.0,-3.268997359835837e-08
70,59,60,71,70,43,1,-0.8496864252478252,-121.0,157789.22923547696,4200.0,-0.9922041105598866,-0.8543531326281529,-53020387174.869736,60.0,-3.6233862019862765e-08
70,59,61,63,74,46,1,-0.7387888707037643,-20.114285714285714,174648.53185991506,4514.0,-0.8305427782888684,-0.7418067424171283,-49640852265.17132,61.0,-3.201876332284339e-08
70,59,62,63,74,46,1,-0.7509001636661211,-9.057142857142857,180421.65022570675,4588.0,-0.8326678765880219,-0.7539745889246777,-50441327548.79639,62.0,-3.1762585452529405e-08
70,59,62,63,74,47,1,-0.7507772868597611,-9.057142857142857,184265.74615136217,4588.0,-0.832516784612593,-0.7537197840882421,-53149431067.99175,62.0,-3.10867816264375e-08
70,59,62,63,75,46,1,-0.7421002234280243,-9.071428571428571,180421.6195477088,4650.0,-0.8218451749734889,-0.7450899601703063,-49776195368.303055,62.0,-3.092114096386847e-08
