A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-2.484081196285816,-0.32342592223538447,5.596159323058693,1.9111182409673608,2.1120678522875798,-0.02181730882352995
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-2.8158867966385577,-0.31322481030607413,4.932989722157776,1.9021513423325376,2.11142158823529,-0.014554411764710104
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-2.892369876772752,-0.3241823772284191,4.650679906946911,1.8878553055919123,2.10501598823529,-0.015012451764709866
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-2.9448696583024216,-0.2907567465296209,5.827924650134118,1.885367910920985,2.12754118738562,-0.010414937058819974
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-2.9562459198533926,-0.3103056823568393,5.4621946607446,1.8686038236374012,2.11753794405229,-0.012644407058819964
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-2.684552668749899,-0.3401884480227543,5.581668428100292,1.8595056036651552,2.10510620882353,-0.019273831176470187
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-2.2935360172675385,-0.2804523635770974,26.83009670926518,1.8691310329920632,2.17177106222222,-0.04010384000000009
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-1.9367191539615018,-0.3285638954434928,37.78384084163472,1.8513037590991115,2.1524255058823503,-0.05280429411764994
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-2.2813193015820925,-0.31183194041010337,17.980935069875407,1.8484842107548602,2.15397504627451,-0.04259405705881972
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-1.5247206240416646,-0.730806636978774,2.669815287463384,1.7142072729576734,1.9548062,-0.17918784000000013
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-1.5139207921431326,-0.7424882824471984,2.5974284965976233,1.710938477676376,1.9466220200000002,-0.17965156000000027
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-1.467841782066209,-0.7525665741159421,2.5361680666709185,1.7073836843096712,1.94031194,-0.1814944399999997
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-1.408336368671755,-0.7772092230874245,2.469810203496217,1.700666333333559,1.9198229999999996,-0.17735624999999983
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-1.3234787248694744,-0.7874094290692639,2.4169273050064755,1.6996622589995138,1.9158272,-0.18393599999999993
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-1.3278720908171935,-0.7970958349585489,2.3503265139140317,1.6952657753839793,1.90801895,-0.1827332900000002
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-1.225123095970878,-0.8819282446690594,1.905886624644682,1.677413179203424,1.8501627900000002,-0.1955256099999997
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-1.128188508748013,-0.8962515118411467,1.8647455418116081,1.6751492564301165,1.8409163100000001,-0.19962560999999984
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-1.0786947326030498,-0.9058259805551451,1.8249365951832761,1.6719970246645814,1.8357414799999998,-0.20304083999999986
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.3755055092787556,-0.41081306345301716,-2.119203976782527,1.8961683115088033,2.24197573385621,-0.16685983058822987
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.3999282006617184,-0.42044582058157254,-2.21234995875766,1.895818791862297,2.23389820496733,-0.16734611058822982
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.44543518440490093,-0.42407725396671064,-2.332831303512107,1.8920422951293383,2.22777075163399,-0.16540147058823026
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.4831047107673989,-0.40904311115473224,-2.299546023566647,1.9047718458311929,2.24561458104575,-0.17294975117647024
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.43693037247146393,-0.4272403568073776,-2.3638593158825163,1.9031946202529226,2.23359174104575,-0.17743815117647024
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.42820266164418497,-0.43881238235965403,-2.432611944385798,1.9010622960972192,2.22397690732027,-0.17760267823528983
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.4868398663784044,-0.4224764727009891,-2.3955470499321154,1.9067599851986794,2.2369617916993496,-0.17635193941175983
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.2636440554876971,-0.4597793021279937,-2.3279224314478175,1.901098946777977,2.2153870486928104,-0.18912107352941002
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.3218159081793568,-0.4639255717216984,-2.4912758559101924,1.9019818329924991,2.21104376647059,-0.19005411352940974
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-7.173534591666683,-0.8093047912808091,1.6188869204805312,1.5466446657985358,1.7887378607074722,0.03818943412687935
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-8.688977539965926,-0.8002369547514612,1.5716866444400452,1.5438752157303592,1.790332453765714,0.04716693476296997
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-9.269218129669525,-0.8089427954490026,1.5359412449034948,1.5379101233867378,1.7839221478825036,0.05008086169388294
