A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,0.39954199692364234,-0.009778000871438321
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,0.3287485997290084,-0.007341044734125577
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,0.37680517593735385,-0.004519975082595259
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,0.2524811666139841,-0.005354304089230154
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,0.3506354486967558,-0.0018672657490286693
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,0.5134228063230043,-0.0008241927616873982
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,0.35726994033931614,-0.0032173353095263165
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,0.672880420462512,0.00016056722819123912
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,0.5393172028985775,0.0022850968196494728
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,3.0700371914117355,0.10774631208187088
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,3.1644074625545313,0.11161951202453965
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,3.20674828158237,0.11294760304026995
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,3.5437409796064987,0.12335893435405143
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,3.5788070222553325,0.12481889366203679
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,3.6377036955405826,0.1272905069409184
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,4.306364490954682,0.1579701055748405
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,4.449017098891986,0.16249364960605922
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,4.459170776931205,0.1636459125991625
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,3.0301319918151277,0.04624050695843724
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,3.151245120341435,0.051145507428721024
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,3.129071043489251,0.052777874617536545
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,2.907356895045959,0.052141151269530506
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,3.1608419951341107,0.05722730822599581
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,3.330640805579236,0.06110542088995638
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,3.096149634261277,0.05851886474032208
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,3.7099154336803863,0.06342419374589772
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,3.6935449753803393,0.0675154415990369
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,2.8579750522284444,0.12394348653727759
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,2.715131069872661,0.12646687092487657
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,2.7082340321119167,0.1283383754669461
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,2.472484353231893,0.09726069306910598
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,2.7962844561866635,0.10507465649694088
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,2.6440160257966276,0.10554550374547662
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,2.806077644742065,0.11672708357238287
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,2.8827695667326267,0.12036060156721308
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,2.9736462728822888,0.1247668448324202
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,0.2104655770954027,-0.004444729943654121
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,0.2273332204558116,-0.0031876339861406223
