A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,1.7072552004058843,-0.48989245514794977,0.7328480725328622,0.3032275553630333,0.8395034061287088,1.64511111111111,1.776649605501858,5.521608445875241,2.9071300644306874,-0.7506846810250849,-1.7427905679012312
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,1.7005602822162276,-0.4811160617021286,0.7403800395932804,0.30563847563965896,0.8481231741523195,1.639,1.792662607857726,5.527014605044023,2.9159284657072013,-0.7785660481510572,-1.722521
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,1.6931052358735095,-0.47473296527332276,0.745701156800675,0.3073105338622269,0.8492430040352097,1.633,1.7904206242006344,5.515943712434117,2.9110559979827726,-0.7958888379966558,-1.7021889999999997
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,1.6960324791588215,-0.5109015030633184,0.7295494252333334,0.31032543722394723,0.8873346338853623,1.65244444444444,1.7847581814572313,5.568089972091913,2.948171114556639,-0.8228001746649773,-1.7562726419752939
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,1.6869474067997439,-0.5041096506552749,0.7354428647256019,0.3121359326976976,0.886118475540131,1.64511111111111,1.7765027406320444,5.550012298000782,2.937611460985176,-0.8399536524010149,-1.7311905679012312
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,1.6839404822986146,-0.5016747325761639,0.7372558283690716,0.311475325425424,0.8727681802072884,1.641,1.7565318635588134,5.5243137010830115,2.915704086675988,-0.815098125024475,-1.718381
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,1.696713208259742,-0.5918057505368908,0.6840119409719873,0.3151524881031636,0.9588755123620191,1.69722222222222,1.7204342697190846,5.623018093769892,2.9997833787961428,-0.9289842952684173,-1.8802632716049306
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,1.6882987220447283,-0.5906766091416877,0.685774796103061,0.3154616445849737,0.9441382354097078,1.691,1.6846132858706273,5.581740126237943,2.966538844957728,-0.90295257680938,-1.8578810000000001
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,1.682641107561232,-0.5819909352185946,0.6930346805972364,0.3179680663350199,0.9556488972267229,1.68533333333333,1.7057344622306823,5.593936516206344,2.980255514023336,-0.9547272133860607,-1.8387484444444333
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,1.4807934204160618,-0.41441249575074646,0.8005473372813479,0.35765067939507367,0.931652068271432,1.5304,1.4811363909046922,5.120813110273923,2.7387336049764768,4.879901269336806,-1.30862416
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,1.4745336812602687,-0.41184540565594596,0.8052941881854166,0.35932727355803995,0.9312581716502994,1.5257,1.4734256306175706,5.109665734290793,2.731219561891591,4.144225523948832,-1.2930604900000002
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,1.472187288381542,-0.4064505165227923,0.8088346535019718,0.3591805324472502,0.9241637814943717,1.5218,1.4693775563509721,5.097398664408449,2.7223383656564595,4.420545482632359,-1.28217524
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,1.4569065025009618,-0.41391970613521756,0.8174677743374431,0.36462271043052846,0.9313523118776954,1.5146,1.4428510677183528,5.081850758702671,2.707023755613363,3.439894358275334,-1.25441316
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,1.4549480169426263,-0.4073091490122127,0.819049665252865,0.36403394185919086,0.9240508111003147,1.5114,1.4378522622256453,5.0664875035080765,2.6982615530845573,3.4141162108311454,-1.2455299600000005
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,1.4507462686567163,-0.4028689918795647,0.8245254361755392,0.364897460374933,0.9200661913185748,1.5066,1.4341567067886374,5.056591059914364,2.69079519825302,3.3403111567094546,-1.23134356
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,1.4067618044248635,-0.36872933183122236,0.863256453959046,0.37525824253092266,0.9056166543267986,1.4688,1.3857323053347381,4.960384006714989,2.6335091240087145,1.5300931294913396,-1.1132734400000002
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,1.4013781223083548,-0.3655036800546161,0.8672244268914459,0.3761040024167057,0.9004942390638615,1.4643,1.3743115130634513,4.943474168189514,2.621755823458308,1.498969625253582,-1.0992744899999998
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,1.3995591336016866,-0.35811351123949553,0.8708882551184384,0.3755285497970723,0.8919737590105821,1.4603,1.3718426969522712,4.930007776042099,2.6133641172683695,1.5297238791255765,-1.0890760899999998
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,1.6198137847159877,-0.8757847081736212,0.5789247016708859,0.35702975657183744,1.2347255482881434,1.80544444444444,1.4068167493171906,5.678496603457896,3.0926583082977137,-4.844431515338019,-2.1450296419752926
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,1.6110314901070941,-0.8701641930634878,0.5832778145197302,0.3594687421589968,1.2392255574757027,1.79855555555556,1.402435029054102,5.6664831881541735,3.0864090909698945,-7.196957585752362,-2.118402086419769
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,1.6073741903338297,-0.8603828699952032,0.5877711414545319,0.35990257171961404,1.235791900744521,1.79222222222222,1.4058418111006064,5.657711116880352,3.0806827044965646,-8.390555744156428,-2.0970604938271524
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,1.6098677011837241,-0.8617991811332961,0.5826233838643317,0.3601397594994962,1.2507526863585776,1.79822222222222,1.4163196649453411,5.6706251036274935,3.1021720695660036,-106.40681835608675,-2.116603160493819
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,1.6013071895424817,-0.8568910916044827,0.5862596597074438,0.3619802588753321,1.2483678572478867,1.79122222222222,1.403423971016664,5.648831085470861,3.086414086125635,43.349026625132794,-2.089877049382708
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,1.5945307693834256,-0.8536629333726022,0.5899030809047379,0.36367539753722483,1.2481160512657652,1.78555555555556,1.3957744011381266,5.6360928964660655,3.0763303888624662,20.082167789124828,-2.0684086419753243
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,1.5990635756728058,-0.8572013005233321,0.5866197811330159,0.3632882682339357,1.2576333326789482,1.79111111111111,1.4076965990122716,5.654868173755501,3.0946057042767583,11.170726295347958,-2.0879790123456745
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,1.5923844636715905,-0.8568920964304017,0.5877746256043684,0.36331187482426264,1.23744831744028,1.78522222222222,1.37353450439031,5.612256180386527,3.0558877150258477,-143.46390599687498,-2.065918382716042
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,1.585094053668539,-0.8464218947912161,0.5924406355589719,0.3652047996984915,1.2419169282254758,1.778,1.376535734039384,5.602262479807392,3.0541230813207214,11.26110700642968,-2.0395840000000005
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,1.4185310010006216,-0.3238735401620565,1.0114388737116642,0.388339454466163,0.866823916619669,1.4171063835941,1.5998254648782313,5.142166853448282,2.682554122290424,-4.105528008258639,-1.0091947930629135
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,1.4124056616209535,-0.3106771060643476,1.025330717300357,0.3920412473600861,0.8757140475939628,1.41001627741408,1.6230275979437405,5.1502413869959,2.6957795254109644,-16.90967912054121,-0.989837614997638
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,1.408185887142303,-0.30066608469423617,1.0363028656343776,0.3932532887426976,0.8706424219850548,1.40338359743922,1.6280199845028867,5.141284239376855,2.6916061602060575,-37.721887501940365,-0.9728957884494555
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,1.46813627969238,-0.3829686980882845,0.9345546038585629,0.3738053569499697,0.891424010687975,1.4703202987947,1.6132132036653157,5.235796154969995,2.734960117259949,-1.943986025503884,-1.1603541677161058
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,1.4563887159378162,-0.37977743115924856,0.9409978553088426,0.3753024595503158,0.8797024589248639,1.46193415170005,1.578695887509902,5.193527338835566,2.705532893169031,-1.8960294571378216,-1.1334438020502244
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,1.4531961784547556,-0.3635170745247598,0.9539768884886791,0.376825761920515,0.8791797249575253,1.45423414391314,1.6014274283582817,5.1954159462157286,2.7122305189307365,-2.2288522899561265,-1.1140826814995133
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,1.4369744180122304,-0.37810328904556023,0.9555486027112581,0.38563127184451523,0.9144768565544109,1.4539291931097,1.5862715481534633,5.207086035407506,2.7259699065386163,-5.4878546933774555,-1.1021111584668035
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,1.4306083586510072,-0.36863420654341383,0.9650390854137676,0.38682955642601213,0.9074102645101538,1.44638166072452,1.5813839384435417,5.188183159480436,2.714892052984613,-6.405361759897982,-1.08099431787876
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,1.4231289612296076,-0.3598860000417079,0.9754884018171521,0.38862037261340543,0.9017198556185344,1.43845293983503,1.5753565365939075,5.169550612425318,2.7038967169423875,-8.429262969834273,-1.058379052688041
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,1.6892932794145963,-0.32169662766926455,0.8247710192245434,0.2991944877688,0.7425935395684207,1.5595555555555554,1.9251142108387858,5.408830095670501,2.850636504227225,-0.788248031012922,-1.509013530864197
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,1.6855123249400912,-0.31609908198247605,0.8297403584832785,0.2999541036820262,0.7410079885413117,1.555222222222222,1.9268593112660573,5.402344041755717,2.847337743325951,-0.7946118467191045,-1.4960161604938267
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,1.6786916786916783,-0.31248487625002164,0.8356590835768929,0.3024094101321057,0.7490770564842284,1.5511111111111109,1.9338869665513267,5.40560658230699,2.8530033432589845,-0.8204807628582821,-1.481945679012345
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,1.7093368962072244,-0.34590059052492217,0.8071896675836691,0.29559807733587956,0.7464956573974829,1.577888888888889,1.9285239836132124,5.447941460940843,2.867075190432599,-0.7427684325384486,-1.5666333456790122
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,1.6979841612670985,-0.34565642901810034,0.8114629343756448,0.2979812349288249,0.7473155515492178,1.5723333333333334,1.9065847377192526,5.427457383202728,2.8536829870763656,-0.7512156355043837,-1.5462321111111113
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,1.6930531567837266,-0.34272092722516945,0.8150751804305181,0.2988491502436178,0.7452446633947054,1.5684444444444443,1.8994693780590568,5.416376146362324,2.8462833515317527,-0.7535432825325287,-1.5336179753086414
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,1.7133823581654766,-0.4142666095466734,0.7837915799339483,0.30123825883937666,0.8010555891672676,1.6076666666666668,1.903337590215981,5.536586322773334,2.9117078045151303,-0.71986891392653,-1.6462921111111117
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,1.7067595257553683,-0.40406454069625974,0.7913424360477064,0.30313606189762454,0.805331246261465,1.6011111111111112,1.9157755036776467,5.534616558630254,2.915637373737374,-0.7440237272144082,-1.6254567901234571
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,1.6972384838270946,-0.40463933575255906,0.7959137216435683,0.30426699957853787,0.7948452330600166,1.5945555555555555,1.881877653393637,5.50180741811266,2.887673668659195,-0.7261455575771455,-1.6031074197530863
