A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,1.0,0.34184497254901913,1.8844747777777766,1.29035294117647,0.21166479339491695
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,1.0,0.3301298470588275,1.876655,1.29647058823529,0.2085502921303637
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,1.0,0.32458261764706275,1.8701116,1.29647058823529,0.2037575266106132
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,1.0,0.33765544575162615,1.895849511111106,1.30588235294118,0.23757034819088452
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,1.0,0.33276628496731575,1.8876004888888878,1.30388235294118,0.23057369719128806
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,1.0,0.33654644117647,1.8817347000000002,1.29564705882353,0.22034057439433752
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,1.0,0.3853377888888866,1.9735299999999976,1.312,0.3269398535819099
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,1.0,0.3918612705882383,1.966633,1.29976470588235,0.3168943777590243
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,1.0,0.3780549019607774,1.9585258666666627,1.30788235294118,0.3148504886727268
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,1.0,0.28555605,1.83219488,1.2541,0.21874216471166386
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,1.0,0.28299045000000006,1.8256526200000003,1.2522,0.21083806872295208
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,1.0,0.28157988,1.82037716,1.2494,0.20250635998509448
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,1.0,0.28058804000000004,1.8061604999999998,1.2447,0.18361463840860925
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,1.0,0.28016436000000006,1.8046116,1.2417,0.18052719763994696
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,1.0,0.2770717999999999,1.7969218200000001,1.2398,0.16922227767211795
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,1.0,0.25444717000000006,1.75066272,1.2251,0.10210967089959122
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,1.0,0.2542241699999998,1.7452991699999998,1.221,0.09180145060077849
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,1.0,0.2525028,1.7409696599999998,1.2183,0.08356696956050458
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,1.0,0.5513044718954139,2.1946982666666615,1.31082352941177,0.6013109838497102
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,1.0,0.544504033986927,2.18668384444445,1.31082352941177,0.5988996306709602
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,1.0,0.5367595424836517,2.1775499999999974,1.31082352941177,0.5918221721870855
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,1.0,0.5368024575163366,2.1954495111111085,1.31764705882353,0.6110675954479396
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,1.0,0.5342155777777746,2.187261455555553,1.31364705882353,0.6064104138970661
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,1.0,0.5308144758169937,2.17891344444445,1.31152941176471,0.6014010860500183
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,1.0,0.5308541908496667,2.1889168888888872,1.31717647058824,0.6113158049868892
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,1.0,0.5406852803921524,2.180648944444442,1.30294117647059,0.600141445958736
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,1.0,0.5306300823529392,2.1739606,1.30494117647059,0.5987813657875689
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,1.0,0.15324759229430363,1.5687792007390602,1.26370473145643,-0.2563500412623395
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,1.0,0.13772552290605106,1.560532247458159,1.27205736770634,-0.2664770040824518
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,1.0,0.13087837224009477,1.5513429782868062,1.27205736770634,-0.2882500288768056
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,1.0,0.1988039008955526,1.6415224296778397,1.27181170193428,-0.0979385551899441
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,1.0,0.20194342505690835,1.6324349093905983,1.26075674219176,-0.12367838874904247
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,1.0,0.18808416767988412,1.6223318011049566,1.26628422206302,-0.1375883706923844
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,1.0,0.18327202707559334,1.6241803383927345,1.27279436502251,-0.12855109689445077
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,1.0,0.17835750355430086,1.6147964085786592,1.26996920864386,-0.14930558354241352
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,1.0,0.17302935315565876,1.6045910779914756,1.26726688515125,-0.17259599841619155
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,1.0,0.2439661594771239,1.7696276888888887,1.295294117647059,0.08259285691629947
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,1.0,0.239835662091503,1.7639330444444443,1.295294117647059,0.07643529983710662
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,1.0,0.232678901960784,1.7588048888888885,1.299294117647059,0.07410811822355001
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,1.0,0.25988583333333326,1.7879059,1.2963529411764707,0.09970385395011361
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,1.0,0.25937078431372546,1.7819253666666666,1.2922352941176471,0.09332830338326292
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,1.0,0.2577329568627449,1.7770475555555554,1.2902352941176471,0.08748302156001297
