A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,0.7467724288840266,1.29035294117647,-0.8208494360977764,0.9636,1.0,2.4358529411764698,-1.0237089759900324,2.3876576758621026
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,0.7434029038112546,1.29647058823529,-0.8130525462000001,0.9638,1.0,2.44147058823529,-1.0318482782056804,2.3775755892618355
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,0.7439428312159733,1.29647058823529,-0.8047775617,0.9645,1.0,2.44167058823529,-1.034927028510579,2.3633130968261455
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,0.7460855855855836,1.30588235294118,-0.8067629509341054,0.9743,1.0,2.4531823529411803,-1.0381451203351904,2.414639992295238
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,0.7479202382026506,1.30388235294118,-0.7964058319928874,0.9752,1.0,2.4512823529411802,-1.039649767246819,2.3958476718852513
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,0.7521338418232993,1.29564705882353,-0.7927707583249997,0.9745,1.0,2.44234705882353,-1.0322568410518935,2.3810095746757063
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,0.7624237804878048,1.312,-0.8100322153479972,1.0003,1.0,2.4748,-1.0472251578239586,2.51765026838197
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,0.770601013758148,1.29976470588235,-0.7999084227200004,1.0016,1.0,2.46276470588235,-1.0379101662249468,2.494080069653432
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,0.7658181163983069,1.30788235294118,-0.7927041716906622,1.0016,1.0,2.46998235294118,-1.047029377072399,2.486623846397345
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,0.8240969619647557,1.2541,-0.5534389222999996,1.0335,1.0,2.4513,-1.100152612222301,2.0809763797219643
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,0.8263057019645423,1.2522,-0.5445677659060002,1.0347,1.0,2.4488000000000003,-1.0994904179815947,2.070006835653857
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,0.8273571314230831,1.2494,-0.5421947676219998,1.0337,1.0,2.4455999999999998,-1.097900626970793,2.0599891930766887
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,0.8352213384751347,1.2447,-0.5173444691999995,1.0396,1.0,2.4372,-1.0922057317120921,2.043742946217099
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,0.8365949907385036,1.2417,-0.5161597046400002,1.0388,1.0,2.4356999999999998,-1.0920696927228977,2.034328289710876
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,0.8376351024358767,1.2398,-0.5106160404250001,1.0385,1.0,2.4325,-1.0908665385674434,2.023453535315179
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,0.8522569586156232,1.2251,-0.45131912096099985,1.0441,1.0,2.417,-1.0912168136039173,1.9355334982253432
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,0.8557739557739557,1.221,-0.44396366768100004,1.0449,1.0,2.4129,-1.0890310239191756,1.9237855880872454
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,0.856439300664861,1.2183,-0.44304111976799965,1.0434,1.0,2.4105,-1.0883607228077647,1.9136463875173184
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,0.8503051516783308,1.31082352941177,-0.684518077370661,1.1146,1.0,2.52642352941177,-1.071182828859148,2.7528557158521476
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,0.8516783342308348,1.31082352941177,-0.6713727788764493,1.1164,1.0,2.5266235294117703,-1.0735462171262786,2.7358378276639486
