A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.9156194793522567,1.64511111111111,0.28685845247741015,0.9636,1.8844747777777766,-1.9297493723972423,3.4308149111111095,1.1455,1.2679109214021158,0.7767351648221844,0.22292427663986053,1.1451223887798865
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.9068172065251852,1.639,0.2918398754537214,0.9638,1.876655,-1.8096248163845732,3.423751,1.145,1.252898295969675,0.7843587458512433,0.19275530506330268,1.1452788473996398
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.9026966060112853,1.633,0.29942752528493743,0.9645,1.8701116,-1.7716651009363615,3.4182454,1.1452,1.2471910036513834,0.7844517320806998,0.1664547007784814,1.1484334688118403
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.8879767625993422,1.65244444444444,0.2985175152403542,0.9743,1.895849511111106,-1.7627450404389462,3.4432588344444404,1.1473,1.2674859577970163,0.7973356410025242,0.16937071560674177,1.1341509135090364
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.8845222327737527,1.64511111111111,0.3082494297482231,0.9752,1.8876004888888878,-1.7392739192552626,3.436255591111111,1.1474,1.263347793864859,0.7951307137152374,0.1394539483120988,1.137912927824314
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.8896996079103159,1.641,0.31258175701625346,0.9745,1.8817347000000002,-1.8032470658880893,3.4306591500000003,1.1467,1.2696215457012738,0.7854019004652393,0.1386033098463615,1.1401226716309227
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.8674713778111489,1.69722222222222,0.3126511115121974,1.0003,1.9735299999999976,-1.9733704746236813,3.5228710622222197,1.1628,1.338205524812265,0.8045505596287416,0.15707813676556304,1.1360861130105089
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.8711593345385733,1.691,0.32488344997284657,1.0016,1.966633,-2.0955251589441057,3.5172608,1.163,1.3513540144596619,0.7902261439353352,0.13969134786792634,1.1413182657773953
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.8624240111150914,1.68533333333333,0.3282186917602496,1.0016,1.9585258666666627,-1.931548563506543,3.5097926933333303,1.1621,1.3325190847126231,0.8002835936725701,0.1109400401987053,1.1398538281262307
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.8001280202960609,1.5304,0.6132702774451801,1.0335,1.83219488,-1.6582510115287634,3.4314061999999996,1.1972,1.2665863309970289,0.7301231493874071,-0.5685473429166228,1.322259852688865
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.7971277454517075,1.5257,0.6217039555757866,1.0347,1.8256526200000003,-1.6468405195399203,3.4257220200000007,1.1966,1.2657347689507399,0.7284291837250297,-0.5854533475491904,1.3226599951070317
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.7983941477530871,1.5218,0.6248567364046743,1.0337,1.82037716,-1.652511593738525,3.42081194,1.1962,1.2641004931446538,0.7249776917272291,-0.5883093959143159,1.3253116600924804
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.7868669077351337,1.5146,0.6450493763557485,1.0396,1.8061604999999998,-1.6275499693406572,3.407223,1.1925,1.270649853848151,0.7224745638497346,-0.6280672884589944,1.314889090777981
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.7891819977995035,1.5114,0.6500725643875329,1.0388,1.8046116,-1.644124517718697,3.4069272,1.194,1.2697891302573407,0.7180793930128466,-0.6322882772730163,1.323193052760657
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.7880785602558279,1.5066,0.6544708732182611,1.0385,1.7969218200000001,-1.6337342657725693,3.3994189500000003,1.1927,1.2671241746144961,0.7162517832178593,-0.6405111654777118,1.3226335393189286
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.7723019210405465,1.4688,0.7182560630430167,1.0441,1.75066272,-1.5683695405289881,3.36106279,1.1919,1.2532638819009037,0.700569421550532,-0.7536504023926066,1.3431195738408332
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.7713076197467751,1.4643,0.7277652080712529,1.0449,1.7452991699999998,-1.576517024713251,3.3567163100000004,1.1919,1.2546542025028011,0.6958948523959269,-0.7649824849669138,1.346998285110674
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.7734941055349183,1.4603,0.7309119562176807,1.0434,1.7409696599999998,-1.5839288323538576,3.35304148,1.1922,1.252001169445669,0.6921360728179803,-0.766163926337327,1.352487496165893
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.7573704021397035,1.80544444444444,0.4776970500621106,1.1146,2.1946982666666615,-2.8537468462270263,3.7613522044444405,1.2156,1.6163258466808872,0.8112432063678887,-0.23558365990811445,1.156296685044171
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.752698453408892,1.79855555555556,0.4896822033736943,1.1164,2.18668384444445,-2.7342294891886048,3.75527467555556,1.2158,1.6087328862644075,0.8116193336266111,-0.27142289822482946,1.1594933914626153
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.7522719741683118,1.79222222222222,0.4930171647819069,1.115,2.1775499999999974,-2.650224899852974,3.7469472222222198,1.215,1.598022386457608,0.8115615541598329,-0.28311373635716564,1.1614464905390147
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.7516556858488964,1.79822222222222,0.49297644697391113,1.117,2.1954495111111085,-2.612097188180338,3.76586752222222,1.2209,1.5928295914659423,0.8178901444451335,-0.291169789417555,1.1736600278288285
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.7489421423154725,1.79122222222222,0.5062173008849608,1.1186,2.187261455555553,-2.5990225295020633,3.7596446822222203,1.2211,1.5928178821831982,0.8135472046733717,-0.32165498532243264,1.1778778262134164
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.7459233190556918,1.78555555555556,0.5155295386007983,1.1198,2.17891344444445,-2.55687333263052,3.75254749555556,1.2203,1.5910347585715494,0.8116629012334047,-0.3451637428460115,1.178156556543546
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.7459222294531189,1.79111111111111,0.5092157574537827,1.1201,2.1889168888888872,-2.5199112710311358,3.7619853211111107,1.2221,1.587488973252452,0.817681611756846,-0.3366922530185786,1.1792542905909136
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.7480215960032821,1.78522222222222,0.5233078082297484,1.1211,2.180648944444442,-2.7478139946950004,3.7550458722222197,1.2215,1.6085281051061249,0.8015243069513325,-0.34768214285786964,1.1831235819113313
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.7447785709320641,1.778,0.5331817406879722,1.1217,2.1739606,-2.6087961058423295,3.7505025900000004,1.2227,1.5944247289237017,0.8035807605871708,-0.37959377439895686,1.1899698235869787
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-0.7550981094534979,1.4171063835941,0.5633305619713302,0.998995709360235,1.5687792007390602,-1.0927050613046017,3.1310587827995775,1.1070299441883,1.1220310679672956,0.7711321470907588,-0.6057230798719878,1.117936030309553
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-0.7493256603240689,1.41001627741408,0.5648495979030312,0.998308287575022,1.560532247458159,-1.0553178955153488,3.123331056235706,1.10674768260131,1.1067631769713022,0.7810948467105683,-0.6296788875416046,1.1186989042961262
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-0.7487017651157108,1.40338359743922,0.5665756225269281,0.996589733111991,1.5513429782868062,-1.0443641834116981,3.1138849751501647,1.10543046186201,1.0992519387701642,0.7812774591633422,-0.6379207868708463,1.1191967746885196
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-0.7715685476239773,1.4703202987947,0.5220268837272664,1.00148761333163,1.6415224296778397,-1.1815803341927373,3.2033708420127187,1.11643866375475,1.1642560264122148,0.7772143868941983,-0.49076105878520365,1.115757229459986
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-0.7710281904517009,1.46193415170005,0.5396644296541273,1.00380766185672,1.6324349093905983,-1.2066667417958938,3.195631903555289,1.11662683814608,1.1711709239704442,0.7644681632875354,-0.5144844337592247,1.1221781196996476
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-0.7693103380959821,1.45423414391314,0.5378004037526213,1.00071426382327,1.6223318011049566,-1.16939533364802,3.185500464998109,1.11559187899377,1.1542891585919257,0.7707886910477327,-0.525998173083207,1.123614942488039
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-0.7509487331014465,1.4539291931097,0.5585294643067388,1.01179894010982,1.6241803383927345,-1.1352937335699083,3.1895053650829173,1.1170972741244,1.1595155392814547,0.7806060775477883,-0.5866564045835881,1.1185957454240112
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,-0.7504608465822097,1.44638166072452,0.565001734510997,1.01102559060146,1.6147964085786592,-1.1309221714888071,3.180542793270761,1.11643866375475,1.1546965701619556,0.7773356978691028,-0.5999929281268178,1.1218479658295886
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,-0.7489029152499779,1.43845293983503,0.5725316249990934,1.010767807432,1.6045910779914756,-1.1242971702755702,3.1706921814121527,1.11549779179811,1.1500327446030254,0.7744610061030561,-0.6162763153702209,1.1240314658089874
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,-0.9375752710728011,1.5595555555555554,0.2851281914756688,0.9232,1.7696276888888887,-1.4882619176754945,3.318610595555556,1.1347,1.1255760921581093,0.7769497102377845,0.13690207269059404,1.1921881997359527
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,-0.9358960939095671,1.555222222222222,0.2881874360127562,0.9227,1.7639330444444443,-1.470612210804108,3.313248562222222,1.1342,1.12104333131056,0.7770537175817925,0.12456166742622155,1.1932227694548811
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,-0.9274933772154632,1.5511111111111109,0.2937893055809089,0.924,1.7588048888888885,-1.4238430677714486,3.3087347111111107,1.1339,1.1144935981271216,0.7823781355016896,0.09889035891073732,1.1920278216543791
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,-0.9455135615932387,1.577888888888889,0.26573690925510485,0.9231,1.7879059,-1.5503021018274508,3.3338534988888893,1.1331,1.141976743120159,0.7789653637486342,0.20478426202546998,1.1776350732083611
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,-0.9407729635561317,1.5723333333333334,0.2779642127650826,0.926,1.7819253666666666,-1.5543191378782446,3.3290691333333338,1.1333,1.144990618158235,0.7746703626615786,0.1737915538944996,1.1790918645073474
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,-0.9395250321336733,1.5684444444444443,0.2829128147553774,0.9264,1.7770475555555554,-1.551717408610959,3.3246556444444444,1.133,1.14414837977579,0.7725028531978484,0.16029541705594313,1.180136682695937
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-0.919967642656262,1.6076666666666668,0.26217408322648644,0.9383,1.8139303000000002,-1.5478635586283098,3.3563505566666674,1.1283,1.1799813681075906,0.7967385202842826,0.2279765427161927,1.129730554427144
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-0.9135927182814485,1.6011111111111112,0.26742677086938094,0.9381,1.806853888888889,-1.4882669769652574,3.350156961111111,1.1285,1.1681251333292466,0.8015472980301087,0.19984794810554896,1.1331601658630928
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,-0.9153098704678249,1.5945555555555555,0.2778602311368574,0.9395,1.7967452,-1.5323789499245342,3.3404841555555556,1.1268,1.1762582376884685,0.7903912497039663,0.18242658965572287,1.1316650392594512
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,-0.8032745231249955,1.6688,0.38782282127405626,1.0244,1.95199536,-1.4985226762650485,3.5123406800000003,1.1697,1.2955574552853795,0.8416549888985556,-0.12738567908698123,1.1472853727274934
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,-0.804146744379711,1.664,0.39041758249813335,1.0231,1.9463807999999998,-1.4915534784204452,3.5073200699999996,1.1697,1.2904691984142482,0.8399124274107361,-0.13533162651977976,1.1510188981426555
